entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,240归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,野性攻击强度,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
100010,暴风城洪荒长袍,护甲,法系输出,4,1,20,胸部,240,耐力+98；智力+98；精神+78,法术强度+134；急速等级+79,法术强度+132；急速等级+81,法术强度×0.9851；急速等级×1.0253,5,510,487,1.0000,1,红色,,0,,,,,326,,48093,萨布拉的凯旋法衣,245,4,1,20,无,,34365,永恒光芒长袍,48921,4,159,70,
100011,雷霆崖之外衣,护甲,法系输出,4,1,20,胸部,240,耐力+98；智力+90,法术强度+134；命中等级+91；暴击等级+68,法术强度+128；命中等级+95；暴击等级+65,法术强度×0.9552；命中等级×1.0440；暴击等级×0.9559,5,505,481,0.9896,1,黄色,,0,,,,,326,,47974,无眠外衣,245,4,1,20,无,,34399,幽怨之袍,48384,4,159,70,
100012,群星·腰链,护甲,法系输出,4,1,6,腰部,240,耐力+73；智力+74,法术强度+113；暴击等级+59；急速等级+66,法术强度+109；暴击等级+54；急速等级+64,法术强度×0.9646；暴击等级×0.9153；急速等级×0.9697,5,358,385,0.9714,1,黄色,,0,,,,,182,,50314,悔恨束带,232,4,1,6,无,,35153,护卫者的鬼纹腰带,48683,4,159,70,
100013,符文大师镇渊腰链,护甲,法系输出,4,1,6,腰部,240,耐力+73；智力+73,法术强度+104；暴击等级+69；命中等级+49,法术强度+97；暴击等级+74；命中等级+47,法术强度×0.9327；暴击等级×1.0725；命中等级×0.9592,5,386,368,0.9891,1,蓝色,,0,,,,,183,,47286,凛冬腰带,245,4,1,6,无,,35159,护卫者的月布腰带,48686,4,159,70,
100014,圣贤束腰,护甲,法系输出,4,1,6,腰部,240,耐力+73；智力+64,法术强度+95；急速等级+64；命中等级+58,法术强度+93；急速等级+61；命中等级+60,法术强度×0.9789；急速等级×0.9531；命中等级×1.0345,5,371,354,0.9915,1,红色,,0,,,,,183,,47994,冰吼束带,245,4,1,6,无,,35164,护卫者的丝质腰带,48689,4,159,70,
100015,灰熊丘陵之束腰,护甲,法系输出,4,1,6,腰部,240,耐力+73；智力+64,法术强度+95；急速等级+64；命中等级+58,法术强度+103；急速等级+68；命中等级+63,法术强度×1.0842；急速等级×1.0625；命中等级×1.0862,5,371,354,1.0480,1,黄色,,0,,,,,183,,47921,冰吼腰带,245,4,1,6,无,,34527,赦免腰带,48356,4,154,70,
100016,风暴之腿甲,护甲,法系输出,4,1,7,腿部,240,耐力+98；智力+98,法术强度+134；暴击等级+86；急速等级+71,法术强度+122；暴击等级+82；急速等级+75,法术强度×0.9104；暴击等级×0.9535；急速等级×1.0563,5,510,487,0.9754,0,,,0,,,,,286,,47805,古尔丹的凯旋护腿,245,4,1,7,无,,34170,止战马裤,48295,4,159,70,
100017,驭雷者之裤腿,护甲,法系输出,4,1,7,腿部,240,耐力+97；智力+99,法术强度+123；命中等级+71；暴击等级+78,法术强度+129；命中等级+69；暴击等级+75,法术强度×1.0488；命中等级×0.9718；暴击等级×0.9615,5,463,468,1.0021,1,蓝色,,0,,,,,285,,45488,奴役圣像护腿,239,4,1,7,无,,34181,灾难护腿,48296,4,159,70,
100018,艾萨拉荣光腿甲,护甲,法系输出,4,1,7,腿部,240,耐力+98；智力+98,法术强度+134；急速等级+71；命中等级+86,法术强度+125；急速等级+69；命中等级+93,法术强度×0.9328；急速等级×0.9718；命中等级×1.0814,5,510,487,0.9918,0,,,0,,,,,286,,48094,萨布拉的凯旋长裤,245,4,1,7,无,,34386,激战长裤,48307,4,159,70,
100019,寒冰皇冠腿甲,护甲,法系输出,4,1,7,腿部,240,耐力+98；智力+98,法术强度+134；急速等级+71；命中等级+86,法术强度+134；急速等级+66；命中等级+88,法术强度×1.0000；急速等级×0.9296；命中等级×1.0233,5,510,487,0.9938,1,黄色,,0,,,,,286,,48079,维伦的凯旋长裤,245,4,1,7,无,,35005,野蛮角斗士的鬼纹护腿,49952,4,159,70,
100020,紫电之长靴,护甲,法系输出,4,1,8,脚部,240,耐力+83；智力+70,法术强度+93；急速等级+47；暴击等级+62,法术强度+99；急速等级+48；暴击等级+60,法术强度×1.0645；急速等级×1.0213；暴击等级×0.9677,5,351,355,1.0141,1,黄色,,0,,,,,224,,45537,伪神之靴,239,4,1,8,无,,35138,护卫者的鬼纹软靴,48685,4,159,70,
100021,裂地布靴,护甲,法系输出,4,1,8,脚部,240,耐力+69；智力+67,法术强度+100；命中等级+45；暴击等级+69,法术强度+106；命中等级+43；暴击等级+67,法术强度×1.0600；命中等级×0.9556；暴击等级×0.9710,5,365,350,1.0057,1,蓝色,,0,,,,,225,,48012,夺日者法师软鞋,245,4,1,8,无,,35144,护卫者的月布便鞋,48688,4,159,70,
100022,辉煌长靴,护甲,法系输出,4,1,8,脚部,240,耐力+73；智力+73；精神+65,法术强度+103；急速等级+55,法术强度+101；急速等级+51,法术强度×0.9806；急速等级×0.9273,5,365,369,0.9837,2,红色,黄色,0,,,,,224,,45135,炽热决心之靴,239,4,1,8,无,,35149,护卫者的丝质裹足,48691,4,159,70,
100023,地狱火半岛护足,护甲,法系输出,4,1,8,脚部,240,耐力+69；智力+67,法术强度+100；命中等级+45；暴击等级+69,法术强度+105；命中等级+41；暴击等级+69,法术强度×1.0500；命中等级×0.9111；暴击等级×1.0000,5,365,350,1.0029,1,黄色,,0,,,,,225,,47940,银色大法师便鞋,245,4,1,8,无,,34562,赦免长靴,48367,4,154,70,
100024,幽暗城璀璨腕轮,护甲,法系输出,4,1,9,腕部,240,耐力+55；智力+55,法术强度+77；暴击等级+40；急速等级+48,法术强度+84；暴击等级+41；急速等级+44,法术强度×1.0909；暴击等级×1.0250；急速等级×0.9167,5,288,275,1.0145,1,黄色,,0,,,,,143,,47586,巫师的珠玉护腕,245,4,1,9,无,,34434,赦免护腕,48321,4,154,70,
100025,索拉查之护腕,护甲,法系输出,4,1,9,腕部,240,耐力+55；智力+55,法术强度+85；命中等级+36；暴击等级+55,法术强度+84；命中等级+39；暴击等级+53,法术强度×0.9882；命中等级×1.0833；暴击等级×0.9636,5,301,286,1.0000,1,蓝色,,0,,,,,143,,47306,黑暗精粹腕轮,245,4,1,9,无,,34436,凶星护腕,48349,4,154,70,
100026,炽焰·护臂,护甲,法系输出,4,1,9,腕部,240,耐力+64；智力+53；精神+48,法术强度+76；急速等级+39,法术强度+83；急速等级+36,法术强度×1.0921；急速等级×0.9231,5,277,280,1.0143,1,红色,,0,,,,,142,,45446,理智之握,239,4,1,9,无,,34447,风暴护腕,48316,4,154,70,
100027,余烬降临护腕,护甲,法系输出,4,1,9,腕部,240,耐力+53；智力+55,法术强度+77；命中等级+31；急速等级+54,法术强度+83；命中等级+31；急速等级+49,法术强度×1.0779；命中等级×1.0000；急速等级×0.9074,5,283,270,1.0037,1,黄色,,0,,,,,143,,48000,邪火护腕,245,4,1,9,无,,35168,护卫者的鬼纹护腕,48684,4,154,70,
100028,圣贤降临护手,护甲,法系输出,4,1,10,手部,240,耐力+73；智力+73,法术强度+93；暴击等级+65；急速等级+75,法术强度+89；暴击等级+71；急速等级+82,法术强度×0.9570；暴击等级×1.0923；急速等级×1.0933,5,374,379,1.0237,2,黄色,蓝色,0,,,,,204,,45665,灯塔手套,239,4,1,10,无,,34342,黎明护手,48305,4,164,70,
100029,铸魂者护手,护甲,法系输出,4,1,10,手部,240,耐力+73；智力+73,法术强度+104；命中等级+56；暴击等级+64,法术强度+106；命中等级+59；暴击等级+62,法术强度×1.0192；命中等级×1.0536；暴击等级×0.9688,5,389,370,1.0081,2,蓝色,红色,0,,,,,204,,48096,萨布拉的凯旋裹手,245,4,1,10,无,,34344,诸界亵渎护手,48306,4,164,70,
100030,灼热护手,护甲,法系输出,4,1,10,手部,240,耐力+73；智力+73；精神+56,法术强度+104；急速等级+64,法术强度+110；急速等级+58,法术强度×1.0577；急速等级×0.9062,5,389,370,1.0000,1,红色,,0,,,,,204,,48066,萨布拉的凯旋兜帽,245,4,1,10,无,,34406,泰莉的强能手套,48387,4,164,70,
100031,通灵学院手甲,护甲,法系输出,4,1,10,手部,240,耐力+73；智力+73,法术强度+104；命中等级+56；暴击等级+64,法术强度+112；命中等级+60；暴击等级+66,法术强度×1.0769；命中等级×1.0714；暴击等级×1.0312,5,389,370,1.0378,0,,,0,,,,,204,,48077,维伦的凯旋裹手,245,4,1,10,无,,34366,阳炎护手,48923,4,159,70,
100032,面甲·峥嵘,护甲,法系输出,4,2,1,头部,240,智力+74；耐力+85,暴击等级+81；急速等级+81；法术强度+144,暴击等级+78；急速等级+79；法术强度+140,暴击等级×0.9630；急速等级×0.9753；法术强度×0.9722,5,486,465,0.9806,2,混沌,红色,0,,,,,499,,49472,怒风头环,245,4,2,1,无,,42550,弱点分析眼镜,45779,4,200,72,
100033,达拉然之头冠,护甲,法系输出,4,2,1,头部,240,耐力+98；智力+98,法术强度+125；命中等级+78；暴击等级+70,法术强度+121；命中等级+77；暴击等级+72,法术强度×0.9680；命中等级×0.9872；暴击等级×1.0286,5,493,469,0.9936,3,混沌,黄色,0,,,,,499,,48181,符文图腾的凯旋头巾,245,4,2,1,无,,42554,绿色视界护目镜,45780,4,200,72,黄色
100034,达拉然之面甲,护甲,法系输出,4,2,1,头部,240,耐力+98；智力+98；精神+78,法术强度+125；急速等级+71,法术强度+129；急速等级+71,法术强度×1.0320；急速等级×1.0000,5,493,470,1.0085,2,混沌,蓝色,0,,,,,499,,47691,盎然生机面罩,245,4,2,1,无,,34244,狡诈之盔,48020,4,164,70,
100035,泰坦监护者焚天头冠,护甲,法系输出,4,2,1,头部,240,耐力+98；智力+98,法术强度+125；命中等级+78；暴击等级+70,法术强度+131；命中等级+73；暴击等级+67,法术强度×1.0480；命中等级×0.9359；暴击等级×0.9571,5,493,469,0.9957,2,混沌,黄色,0,,,,,499,,48164,玛法里奥的凯旋头巾,245,4,2,1,无,,34245,智者乌索尔之帽,48019,4,164,70,
100036,暴风城霜痕肩甲,护甲,法系输出,4,2,3,肩部,240,耐力+66；智力+71,法术强度+95；急速等级+57；暴击等级+64,法术强度+103；急速等级+60；暴击等级+67,法术强度×1.0842；急速等级×1.0526；暴击等级×1.0469,5,369,353,1.0397,1,黄色,,0,,,,,460,,47996,极地野兽护肩,245,4,2,3,无,,34195,盛怒护肩,47999,4,159,70,
100037,秘术肩铠,护甲,法系输出,4,2,3,肩部,240,耐力+83；智力+70；精神+57,法术强度+94；暴击等级+56,法术强度+103；暴击等级+59,法术强度×1.0957；暴击等级×1.0536,5,355,360,1.0333,0,,,0,,,,,458,,45136,潜在能量护肩,239,4,2,3,无,,34209,拓荒护肩,48005,4,159,70,
100038,回响肩甲,护甲,法系输出,4,2,3,肩部,240,耐力+73；智力+73；精神+56,法术强度+104；急速等级+64,法术强度+102；急速等级+70,法术强度×0.9808；急速等级×1.0938,5,389,370,1.0108,2,红色,黄色,0,,,,,460,,48148,符文图腾的凯旋肩铠,245,4,2,3,无,,34392,魔牙护肩,48052,4,159,70,
100039,苍穹之肩卫,护甲,法系输出,4,2,3,肩部,240,耐力+73；智力+73；精神+64,法术强度+104；暴击等级+56,法术强度+95；暴击等级+55,法术强度×0.9135；暴击等级×0.9821,5,389,370,0.9730,1,黄色,,0,,,,,460,,48178,符文图腾的凯旋护肩,245,4,2,3,无,,35001,野蛮角斗士的龙皮护肩,48591,4,159,70,
100040,游侠将军战衣,护甲,法系输出,4,2,20,胸部,240,耐力+98；智力+98,法术强度+134；急速等级+86；暴击等级+70,法术强度+124；急速等级+78；暴击等级+74,法术强度×0.9254；急速等级×0.9070；暴击等级×1.0571,5,510,486,0.9712,0,,,0,,,,,614,,48179,符文图腾的凯旋护胸,245,4,2,20,无,,34211,野兽本能外套,48011,4,159,70,
100041,血精灵魔导师胸甲,护甲,法系输出,4,2,20,胸部,240,耐力+98；智力+98,法术强度+134；急速等级+86；暴击等级+70,法术强度+125；急速等级+92；暴击等级+73,法术强度×0.9328；急速等级×1.0698；暴击等级×1.0429,5,510,486,1.0000,0,,,0,,,,,614,,48166,玛法里奥的凯旋护胸,245,4,2,20,无,,34212,阳光外衣,48012,4,159,70,
100042,索拉查胸甲,护甲,法系输出,4,2,20,胸部,240,耐力+75；智力+93；精神+79,法术强度+123；急速等级+70,法术强度+116；急速等级+75,法术强度×0.9431；急速等级×1.0714,5,435,440,0.9955,1,红色,,0,,,,,611,,45519,盲眼者的外衣,239,4,2,20,无,,34369,烈日暗影甲冑,48912,4,159,70,
100043,游侠将军焚天胸甲,护甲,法系输出,4,2,20,胸部,240,耐力+98；智力+98；精神+78,法术强度+134；暴击等级+78,法术强度+122；暴击等级+83,法术强度×0.9104；暴击等级×1.0641,5,510,486,0.9856,1,黄色,,0,,,,,614,,48149,符文图腾的凯旋法袍,245,4,2,20,无,,34371,骄阳之皮革胸甲,48916,4,159,70,
100044,太古之扣带,护甲,法系输出,4,2,6,腰部,240,耐力+73；智力+72,法术强度+99；暴击等级+63；急速等级+52,法术强度+105；暴击等级+66；急速等级+54,法术强度×1.0606；暴击等级×1.0476；急速等级×1.0385,5,450,359,1.0306,1,黄色,,0,,,,,349,,50994,石化藤条腰带,264,4,2,6,无,,35152,护卫者的龙皮腰带,48676,4,159,70,
100045,血精灵魔导师之腰甲,护甲,法系输出,4,2,6,腰部,240,耐力+73；智力+73；精神+61,法术强度+95；暴击等级+49,法术强度+88；暴击等级+52,法术强度×0.9263；暴击等级×1.0612,5,368,351,0.9886,0,,,0,,,,,345,,48002,血蹄使者束带,245,4,2,6,无,,35156,护卫者的皮甲腰带,48677,4,159,70,
100046,星轨·腰带,护甲,法系输出,4,2,6,腰部,240,耐力+83；智力+70；精神+48,法术强度+93；急速等级+64,法术强度+97；急速等级+59,法术强度×1.0430；急速等级×0.9219,5,354,358,0.9972,1,红色,,0,,,,,344,,45616,星珠束腰,239,4,2,6,无,,34554,雷霆之心腰带,48352,4,154,70,
100047,血月御风腰带,护甲,法系输出,4,2,6,腰部,240,耐力+73；智力+73；精神+61,法术强度+95；暴击等级+49,法术强度+90；暴击等级+45,法术强度×0.9474；暴击等级×0.9184,5,368,351,0.9744,2,黄色,蓝色,0,,,,,345,,47929,冬至腰带,245,4,2,6,无,,34558,刺杀者腰带,48357,4,154,70,
100048,腿铠·生长,护甲,法系输出,4,2,7,腿部,240,耐力+98；智力+98,法术强度+134；急速等级+86；暴击等级+70,法术强度+127；急速等级+79；暴击等级+72,法术强度×0.9478；急速等级×0.9186；暴击等级×1.0286,5,510,486,0.9753,2,黄色,蓝色,0,,,,,537,,47318,苏醒护腿,245,4,2,7,无,,34169,自然侵攻护腿,47975,4,159,70,
100049,安戈洛之腿铠,护甲,法系输出,4,2,7,腿部,240,耐力+98；智力+97,法术强度+136；暴击等级+86；命中等级+72,法术强度+149；暴击等级+90；命中等级+69,法术强度×1.0956；暴击等级×1.0465；命中等级×0.9583,5,543,489,1.0286,0,,,0,,,,,540,,50820,树纹长裤,251,4,2,7,无,,34188,永恒长夜护腿,47995,4,159,70,
100050,源质破夜护腿,护甲,法系输出,4,2,7,腿部,240,耐力+98；智力+98；精神+70,法术强度+134；命中等级+86,法术强度+147；命中等级+81,法术强度×1.0970；命中等级×0.9419,5,510,486,1.0165,0,,,0,,,,,537,,48180,符文图腾的凯旋长裤,245,4,2,7,无,,35000,野蛮角斗士的龙皮护腿,48603,4,159,70,
100051,祖达克腿铠,护甲,法系输出,4,2,7,腿部,240,耐力+98；智力+98；精神+70,法术强度+134；命中等级+86,法术强度+137；命中等级+85,法术强度×1.0224；命中等级×0.9884,5,510,486,1.0041,2,黄色,蓝色,0,,,,,537,,48165,玛法里奥的凯旋长裤,245,4,2,7,无,,35034,野蛮角斗士的皮甲护腿,48597,4,159,70,
100052,踏靴·天火,护甲,法系输出,4,2,8,脚部,240,耐力+73；智力+72,法术强度+96；急速等级+69；暴击等级+41,法术强度+87；急速等级+70；暴击等级+39,法术强度×0.9062；急速等级×1.0145；暴击等级×0.9512,5,390,351,0.9715,1,黄色,,0,,,,,423,,50783,霜籽长靴,251,4,2,8,无,,35137,护卫者的龙皮长靴,48678,4,159,70,
100053,潮汐之战靴,护甲,法系输出,4,2,8,脚部,240,耐力+71；智力+75,暴击等级+77；命中等级+42；法术强度+110,暴击等级+73；命中等级+46；法术强度+105,暴击等级×0.9481；命中等级×1.0952；法术强度×0.9545,5,308,375,0.9867,1,蓝色,,0,,,,,427,,47504,树皮长靴,219,4,2,8,无,,35141,护卫者的皮甲长靴,48679,4,159,70,
100054,幽暗城战靴,护甲,法系输出,4,2,8,脚部,240,耐力+84；智力+70；精神+64,法术强度+112；急速等级+63,法术强度+113；急速等级+60,法术强度×1.0089；急速等级×0.9524,5,342,393,0.9949,0,,,0,,,,,431,,45378,石化森林之靴,225,4,2,8,无,,34571,雷霆之心长靴,48363,4,154,70,
100055,星陨足甲,护甲,法系输出,4,2,8,脚部,240,耐力+71；智力+75,暴击等级+77；命中等级+42；法术强度+110,暴击等级+75；命中等级+38；法术强度+101,暴击等级×0.9740；命中等级×0.9048；法术强度×0.9182,5,308,375,0.9600,0,,,0,,,,,427,,47504,树皮长靴,219,4,2,8,无,,34573,雷霆之心战靴,48362,4,154,70,
100056,命轮臂甲,护甲,法系输出,4,2,9,腕部,240,耐力+55；智力+53,法术强度+80；暴击等级+47；急速等级+43,法术强度+82；暴击等级+48；急速等级+42,法术强度×1.0250；暴击等级×1.0213；急速等级×0.9767,5,370,278,1.0072,2,黄色,蓝色,0,,,,,272,,53134,相位移形者护腕,271,4,2,9,无,,34444,雷霆之心腕甲,48311,4,154,70,
100057,仲裁者之护臂,护甲,法系输出,4,2,9,腕部,240,耐力+55；智力+55；精神+48,法术强度+77；暴击等级+40,法术强度+78；暴击等级+36,法术强度×1.0130；暴击等级×0.9000,5,288,275,0.9891,1,蓝色,,0,,,,,268,,47584,月影臂甲,245,4,2,9,无,,34445,雷霆之心护腕,48322,4,154,70,
100058,燃烬者护腕,护甲,法系输出,4,2,9,腕部,240,耐力+55；智力+55；精神+48,法术强度+85；急速等级+48,法术强度+90；急速等级+51,法术强度×1.0588；急速等级×1.0625,5,305,291,1.0275,1,红色,,0,,,,,268,,47277,秋木束腕,245,4,2,9,无,,34448,刺杀者护腕,48324,4,154,70,
100059,御风者守护护腕,护甲,法系输出,4,2,9,腕部,240,耐力+55；智力+55；精神+48,法术强度+77；暴击等级+40,法术强度+74；暴击等级+43,法术强度×0.9610；暴击等级×1.0750,5,288,275,1.0000,1,黄色,,0,,,,,268,,47583,月影臂甲,245,4,2,9,无,,35167,护卫者的龙皮护腕,48681,4,154,70,
100060,织法者之手甲,护甲,法系输出,4,2,10,手部,240,耐力+73；智力+72,法术强度+98；暴击等级+57；急速等级+59,法术强度+96；暴击等级+54；急速等级+60,法术强度×0.9796；暴击等级×0.9474；急速等级×1.0169,5,422,359,0.9889,0,,,0,,,,,386,,53117,变形手套,258,4,2,10,无,,34234,暗影爆发护手,48018,4,159,70,
100061,血色修道院幻光拳甲,护甲,法系输出,4,2,10,手部,240,耐力+73；智力+72,法术强度+105；暴击等级+64；命中等级+56,法术强度+104；暴击等级+61；命中等级+55,法术强度×0.9905；暴击等级×0.9531；命中等级×0.9821,5,412,370,0.9865,0,,,0,,,,,386,,50822,树纹手套,251,4,2,10,无,,34372,骄阳之皮革护手,48917,4,159,70,
100062,银河碎星手甲,护甲,法系输出,4,2,10,手部,240,耐力+73；智力+73；精神+56,法术强度+104；急速等级+64,法术强度+107；急速等级+62,法术强度×1.0288；急速等级×0.9688,5,389,370,1.0027,2,红色,黄色,0,,,,,383,,48182,符文图腾的凯旋手套,245,4,2,10,无,,34408,森林流浪者手套,48059,4,159,70,
100063,暮星之护手,护甲,法系输出,4,2,10,手部,240,耐力+72；智力+74；精神+55,法术强度+102；命中等级+66,法术强度+95；命中等级+60,法术强度×0.9314；命中等级×0.9091,5,322,369,0.9648,0,,,0,,,,,384,,46189,征服者的夜歌手套,226,4,2,10,无,,34998,野蛮角斗士的龙皮手套,49966,4,159,70,
100064,大地·面甲,护甲,法系输出,4,3,1,头部,240,耐力+98；智力+98,法术强度+125；暴击等级+76；急速等级+81,法术强度+132；暴击等级+72；急速等级+88,法术强度×1.0560；暴击等级×0.9474；急速等级×1.0864,5,501,478,1.0209,3,混沌,黄色,0,,,,,1108,,48333,萨尔的凯旋头盔,245,4,3,1,无,,42551,真视冰雪眼罩,53564,4,200,72,红色
100065,源质头冠,护甲,法系输出,4,3,1,头部,240,智力+60；耐力+102,法术强度+135；暴击等级+90；命中等级+83,法术强度+146；暴击等级+86；命中等级+81,法术强度×1.0815；暴击等级×0.9556；命中等级×0.9759,5,492,470,1.0106,3,混沌,蓝色,0,,,,,1108,,49468,无尽风暴头盔,245,4,3,1,无,,34332,古尔丹的兜帽,48025,4,164,70,蓝色
100066,巨魔祭司战盔,护甲,法系输出,4,3,1,头部,240,耐力+98；智力+98,法术强度+125；暴击等级+76；急速等级+81,法术强度+125；暴击等级+76；急速等级+79,法术强度×1.0000；暴击等级×1.0000；急速等级×0.9753,5,501,478,0.9958,2,混沌,蓝色,0,,,,,1108,,48318,努波顿的凯旋头盔,245,4,3,1,无,,34333,奥蕾莉亚的头盔,48024,4,164,70,
100067,断岳面甲,护甲,法系输出,4,3,1,头部,240,智力+59；耐力+101,法术强度+133；暴击等级+89；命中等级+82,法术强度+145；暴击等级+82；命中等级+81,法术强度×1.0902；暴击等级×0.9213；命中等级×0.9878,5,430,464,1.0086,3,混沌,黄色,0,,,,,1102,,49331,无尽风暴衬帽,232,4,3,1,无,,34355,闪电蚀刻护目镜,45778,4,159,70,蓝色
100068,肩甲·钢铁,护甲,法系输出,4,3,3,肩部,240,耐力+73；智力+73,法术强度+104；急速等级+64；暴击等级+56,法术强度+110；急速等级+58；暴击等级+53,法术强度×1.0577；急速等级×0.9062；暴击等级×0.9464,5,389,370,0.9919,0,,,0,,,,,1023,,48331,萨尔的凯旋衬肩,245,4,3,3,无,,34194,金色森林护肩,47998,4,159,70,
100069,黑暗神殿玄铁肩铠,护甲,法系输出,4,3,3,肩部,240,耐力+96；智力+66,暴击等级+37；命中等级+74；法术强度+102,暴击等级+38；命中等级+80；法术强度+110,暴击等级×1.0270；命中等级×1.0811；法术强度×1.0784,5,307,375,1.0400,1,蓝色,,0,,,,,1035,,47250,嚎风衬肩,219,4,3,3,无,,34208,均衡肩饰,48004,4,159,70,
100070,秘银之披肩,护甲,法系输出,4,3,3,肩部,240,耐力+73；智力+73,法术强度+104；急速等级+64；暴击等级+56,法术强度+104；急速等级+63；暴击等级+60,法术强度×1.0000；急速等级×0.9844；暴击等级×1.0714,5,389,370,1.0081,1,红色,,0,,,,,1023,,48320,努波顿的凯旋衬肩,245,4,3,3,无,,34994,野蛮角斗士的链甲护肩,48609,4,159,70,
100071,奥杜尔之肩卫,护甲,法系输出,4,3,3,肩部,240,耐力+96；智力+66,暴击等级+37；命中等级+74；法术强度+102,暴击等级+36；命中等级+71；法术强度+95,暴击等级×0.9730；命中等级×0.9595；法术强度×0.9314,5,307,375,0.9707,0,,,0,,,,,1035,,47250,嚎风衬肩,219,4,3,3,无,,35046,野蛮角斗士的鳞甲护肩,48616,4,159,70,
