entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,250归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级
100603,神祇御风法衣,护甲,法系输出,4,1,20,胸部,250,耐力+108；智力+108；精神+77,法术强度+139；急速等级+89,法术强度+144；急速等级+91,法术强度×1.0360；急速等级×1.0225,5,526,521,1.0134,0,,,0,,,,337,,51379,血魂法衣,251,4,1,20,无,,34365,永恒光芒长袍,48921,4,159,70
100604,霜裔破天衣袍,护甲,法系输出,4,1,20,胸部,250,耐力+108；智力+100,法术强度+146；命中等级+101；暴击等级+75,法术强度+141；命中等级+101；暴击等级+79,法术强度×0.9658；命中等级×1.0000；暴击等级×1.0533,5,505,530,0.9981,0,,,0,,,,336,,47974,无眠外衣,245,4,1,20,无,,34399,幽怨之袍,48384,4,159,70
100605,哀嚎洞穴源质腰链,护甲,法系输出,4,1,6,腰部,250,耐力+80；智力+80,法术强度+105；暴击等级+75；急速等级+46,法术强度+98；暴击等级+71；急速等级+49,法术强度×0.9333；暴击等级×0.9467；急速等级×1.0652,5,390,386,0.9793,2,黄色,蓝色,0,,,,189,,51017,灼烧束带,251,4,1,6,无,,35153,护卫者的鬼纹腰带,48683,4,159,70
100606,暮星守望腰带,护甲,法系输出,4,1,6,腰部,250,耐力+81；智力+81,法术强度+114；暴击等级+76；命中等级+54,法术强度+120；暴击等级+82；命中等级+56,法术强度×1.0526；暴击等级×1.0789；命中等级×1.0370,5,386,406,1.0345,1,蓝色,,0,,,,189,,47286,凛冬腰带,245,4,1,6,无,,35159,护卫者的月布腰带,48686,4,159,70
100607,奥义腰链,护甲,法系输出,4,1,6,腰部,250,耐力+80；智力+80；精神+53,法术强度+105；急速等级+67,法术强度+107；急速等级+64,法术强度×1.0190；急速等级×0.9552,5,390,385,0.9974,1,红色,,0,,,,189,,50773,恩医束带,251,4,1,6,无,,35164,护卫者的丝质腰带,48689,4,159,70
100608,追猎者束带,护甲,法系输出,4,1,6,腰部,250,耐力+81；智力+70,法术强度+103；急速等级+70；命中等级+64,法术强度+109；急速等级+66；命中等级+64,法术强度×1.0583；急速等级×0.9429；命中等级×1.0000,5,371,388,1.0052,1,黄色,,0,,,,189,,47994,冰吼束带,245,4,1,6,无,,34527,赦免腰带,48356,4,154,70
100609,咒术战裙,护甲,法系输出,4,1,7,腿部,250,耐力+108；智力+108,法术强度+139；急速等级+83；暴击等级+83,法术强度+150；急速等级+84；暴击等级+78,法术强度×1.0791；急速等级×1.0120；暴击等级×0.9398,5,526,521,1.0134,1,黄色,,0,,,,295,,50990,新伤褶裙,251,4,1,7,无,,34170,止战马裤,48295,4,159,70
100610,时空之腿甲,护甲,法系输出,4,1,7,腿部,250,耐力+108；智力+108,法术强度+148；暴击等级+95；命中等级+79,法术强度+161；暴击等级+86；命中等级+80,法术强度×1.0878；暴击等级×0.9053；命中等级×1.0127,5,543,538,1.0093,0,,,0,,,,295,,50393,血色侍僧长裤,251,4,1,7,无,,34181,灾难护腿,48296,4,159,70
100611,破云长裤,护甲,法系输出,4,1,7,腿部,250,耐力+108；智力+108；精神+95,法术强度+148；急速等级+79,法术强度+158；急速等级+81,法术强度×1.0676；急速等级×1.0253,5,543,538,1.0223,1,红色,,0,,,,295,,50769,血色侍僧护腿,251,4,1,7,无,,34386,激战长裤,48307,4,159,70
100612,腿甲·炽焰,护甲,法系输出,4,1,7,腿部,250,耐力+108；智力+108,法术强度+148；暴击等级+95；命中等级+79,法术强度+134；暴击等级+89；命中等级+76,法术强度×0.9054；暴击等级×0.9368；命中等级×0.9620,5,543,538,0.9572,0,,,0,,,,295,,50277,血法护腿,251,4,1,7,无,,35005,野蛮角斗士的鬼纹护腿,49952,4,159,70
100613,幻光·护足,护甲,法系输出,4,1,8,脚部,250,耐力+91；智力+77,法术强度+101；急速等级+51；暴击等级+68,法术强度+100；急速等级+50；暴击等级+71,法术强度×0.9901；急速等级×0.9804；暴击等级×1.0441,5,351,388,1.0026,0,,,0,,,,230,,45537,伪神之靴,239,4,1,8,无,,35138,护卫者的鬼纹软靴,48685,4,159,70
100614,冲击布靴,护甲,法系输出,4,1,8,脚部,250,耐力+80；智力+80,法术强度+105；命中等级+46；暴击等级+75,法术强度+115；命中等级+49；暴击等级+78,法术强度×1.0952；命中等级×1.0652；暴击等级×1.0400,5,390,386,1.0415,0,,,0,,,,232,,50804,冰冠尖塔便鞋,251,4,1,8,无,,35144,护卫者的月布便鞋,48688,4,159,70
100615,足具·恒金,护甲,法系输出,4,1,8,脚部,250,耐力+81；智力+81,法术强度+114；命中等级+62；急速等级+70,法术强度+106；命中等级+62；急速等级+64,法术强度×0.9298；命中等级×1.0000；急速等级×0.9143,5,389,408,0.9657,0,,,0,,,,231,,47321,浮冰长靴,245,4,1,8,无,,35149,护卫者的丝质裹足,48691,4,159,70
100616,泰坦监护者护足,护甲,法系输出,4,1,8,脚部,250,耐力+75；智力+74,法术强度+109；命中等级+49；暴击等级+76,法术强度+101；命中等级+51；暴击等级+79,法术强度×0.9266；命中等级×1.0408；暴击等级×1.0395,5,365,383,0.9922,1,黄色,,0,,,,231,,48012,夺日者法师软鞋,245,4,1,8,无,,34562,赦免长靴,48367,4,154,70
100617,护臂·星陨,护甲,法系输出,4,1,9,腕部,250,耐力+61；智力+61,法术强度+84；暴击等级+44；急速等级+52,法术强度+77；暴击等级+48；急速等级+50,法术强度×0.9167；暴击等级×1.0909；急速等级×0.9615,5,288,302,0.9834,0,,,0,,,,147,,47586,巫师的珠玉护腕,245,4,1,9,无,,34434,赦免护腕,48321,4,154,70
100618,轮回之护腕,护甲,法系输出,4,1,9,腕部,250,耐力+61；智力+61,法术强度+93；命中等级+40；暴击等级+61,法术强度+97；命中等级+43；暴击等级+55,法术强度×1.0430；命中等级×1.0750；暴击等级×0.9016,5,301,316,1.0032,0,,,0,,,,147,,47306,黑暗精粹腕轮,245,4,1,9,无,,34436,凶星护腕,48349,4,154,70
100619,星界腕轮,护甲,法系输出,4,1,9,腕部,250,耐力+60；智力+60,法术强度+93；命中等级+40；急速等级+60,法术强度+93；命中等级+36；急速等级+57,法术强度×1.0000；命中等级×0.9000；急速等级×0.9500,5,317,313,0.9776,2,红色,黄色,0,,,,148,,51007,药浸护腕,251,4,1,9,无,,34447,风暴护腕,48316,4,154,70
100620,费伍德天轨护臂,护甲,法系输出,4,1,9,腕部,250,耐力+59；智力+61,法术强度+84；命中等级+35；急速等级+58,法术强度+86；命中等级+33；急速等级+63,法术强度×1.0238；命中等级×0.9429；急速等级×1.0862,5,283,297,1.0168,0,,,0,,,,147,,48000,邪火护腕,245,4,1,9,无,,35168,护卫者的鬼纹护腕,48684,4,154,70
100621,手甲·星环,护甲,法系输出,4,1,10,手部,250,耐力+81；智力+81,法术强度+114；暴击等级+70；急速等级+62,法术强度+124；暴击等级+76；急速等级+58,法术强度×1.0877；暴击等级×1.0857；急速等级×0.9355,5,389,408,1.0294,2,黄色,蓝色,0,,,,210,,47772,逐日者的凯旋护手,245,4,1,10,无,,34342,黎明护手,48305,4,164,70
100622,神祇之手甲,护甲,法系输出,4,1,10,手部,250,耐力+80；智力+80,法术强度+115；暴击等级+70；命中等级+62,法术强度+106；暴击等级+70；命中等级+65,法术强度×0.9217；暴击等级×1.0000；命中等级×1.0484,5,412,407,0.9853,1,蓝色,,0,,,,210,,50391,血色侍僧裹手,251,4,1,10,无,,34344,诸界亵渎护手,48306,4,164,70
100623,黎明·手甲,护甲,法系输出,4,1,10,手部,250,耐力+80；智力+80；精神+46,法术强度+105；急速等级+75,法术强度+103；急速等级+71,法术强度×0.9810；急速等级×0.9467,5,390,386,0.9845,1,红色,,0,,,,210,,51005,断指手套,251,4,1,10,无,,34406,泰莉的强能手套,48387,4,164,70
100624,奥妮克希亚之护手,护甲,法系输出,4,1,10,手部,250,耐力+80；智力+80,法术强度+105；命中等级+70；急速等级+55,法术强度+98；命中等级+76；急速等级+54,法术强度×0.9333；命中等级×1.0857；急速等级×0.9818,5,394,390,0.9949,1,黄色,,0,,,,210,,50782,女武神护手,251,4,1,10,无,,34366,阳炎护手,48923,4,159,70
100625,祖尔格拉布炽焰兜帽,护甲,法系输出,4,2,1,头部,250,耐力+108；智力+108,法术强度+139；暴击等级+87；急速等级+79,法术强度+127；暴击等级+89；急速等级+82,法术强度×0.9137；暴击等级×1.0230；急速等级×1.0380,5,526,521,0.9866,0,,,0,,,,516,,50821,树纹头巾,251,4,2,1,无,,42550,弱点分析眼镜,45779,4,200,72
100626,照夜战盔,护甲,法系输出,4,2,1,头部,250,耐力+108；智力+108,法术强度+137；命中等级+86；暴击等级+78,法术强度+132；命中等级+92；暴击等级+75,法术强度×0.9635；命中等级×1.0698；暴击等级×0.9615,5,493,517,0.9961,1,蓝色,,0,,,,513,,48181,符文图腾的凯旋头巾,245,4,2,1,无,,42554,绿色视界护目镜,45780,4,200,72
100627,风暴峭壁秩序兜帽,护甲,法系输出,4,2,1,头部,250,耐力+108；智力+108；精神+86,法术强度+137；急速等级+77,法术强度+136；急速等级+74,法术强度×0.9927；急速等级×0.9610,5,493,516,0.9922,1,红色,,0,,,,513,,47691,盎然生机面罩,245,4,2,1,无,,34244,狡诈之盔,48020,4,164,70
100628,命轮·兜帽,护甲,法系输出,4,2,1,头部,250,耐力+108；智力+108,法术强度+137；命中等级+86；暴击等级+78,法术强度+133；命中等级+85；暴击等级+77,法术强度×0.9708；命中等级×0.9884；暴击等级×0.9872,5,493,517,0.9884,1,黄色,,0,,,,513,,48164,玛法里奥的凯旋头巾,245,4,2,1,无,,34245,智者乌索尔之帽,48019,4,164,70
100629,肩卫·星芒,护甲,法系输出,4,2,3,肩部,250,耐力+80；智力+80,法术强度+115；暴击等级+70；急速等级+62,法术强度+126；暴击等级+74；急速等级+57,法术强度×1.0957；暴击等级×1.0571；急速等级×0.9194,5,412,407,1.0246,0,,,0,,,,476,,50819,树纹衬肩,251,4,2,3,无,,34195,盛怒护肩,47999,4,159,70
100630,星语者驭雷肩卫,护甲,法系输出,4,2,3,肩部,250,耐力+80；智力+80；精神+70,法术强度+115；暴击等级+62,法术强度+125；暴击等级+62,法术强度×1.0870；暴击等级×1.0000,5,412,407,1.0246,1,蓝色,,0,,,,476,,50113,树纹肩甲,251,4,2,3,无,,34209,拓荒护肩,48005,4,159,70
100631,咒术肩卫,护甲,法系输出,4,2,3,肩部,250,耐力+85；智力+78；精神+70,法术强度+105；急速等级+55,法术强度+102；急速等级+50,法术强度×0.9714；急速等级×0.9091,5,397,393,0.9796,1,红色,,0,,,,476,,51552,灼热之吻肩垫,251,4,2,3,无,,34392,魔牙护肩,48052,4,159,70
100632,幻影之肩甲,护甲,法系输出,4,2,3,肩部,250,耐力+81；智力+81；精神+70,法术强度+114；暴击等级+62,法术强度+109；暴击等级+64,法术强度×0.9561；暴击等级×1.0323,5,389,408,0.9926,0,,,0,,,,474,,48178,符文图腾的凯旋护肩,245,4,2,3,无,,35001,野蛮角斗士的龙皮护肩,48591,4,159,70
100633,剃刀高地之胸甲,护甲,法系输出,4,2,20,胸部,250,耐力+108；智力+108,法术强度+148；暴击等级+95；急速等级+79,法术强度+144；暴击等级+99；急速等级+76,法术强度×0.9730；暴击等级×1.0421；急速等级×0.9620,5,543,538,0.9944,1,黄色,,0,,,,634,,50823,树纹法衣,251,4,2,20,无,,34211,野兽本能外套,48011,4,159,70
100634,洪荒裁断战衣,护甲,法系输出,4,2,20,胸部,250,耐力+108；智力+108；精神+71,法术强度+139；暴击等级+95,法术强度+130；暴击等级+88,法术强度×0.9353；暴击等级×0.9263,5,526,521,0.9693,0,,,0,,,,634,,51009,失败实验胸甲,251,4,2,20,无,,34212,阳光外衣,48012,4,159,70
100635,山岳护甲,护甲,法系输出,4,2,20,胸部,250,耐力+108；智力+108；精神+95,法术强度+146；急速等级+77,法术强度+154；急速等级+79,法术强度×1.0548；急速等级×1.0260,5,510,534,1.0187,1,红色,,0,,,,632,,47292,反目长袍,245,4,2,20,无,,34369,烈日暗影甲冑,48912,4,159,70
100636,破晓者穿云护胸,护甲,法系输出,4,2,20,胸部,250,耐力+108；智力+108；精神+95,法术强度+148；暴击等级+79,法术强度+145；暴击等级+77,法术强度×0.9797；暴击等级×0.9747,5,543,538,0.9907,0,,,0,,,,634,,50106,树纹长袍,251,4,2,20,无,,34371,骄阳之皮革胸甲,48916,4,159,70
100637,灰熊丘陵之腰带,护甲,法系输出,4,2,6,腰部,250,耐力+81；智力+80,法术强度+108；暴击等级+70；急速等级+57,法术强度+108；暴击等级+65；急速等级+61,法术强度×1.0000；暴击等级×0.9286；急速等级×1.0702,5,450,396,0.9975,1,黄色,,0,,,,359,,50994,石化藤条腰带,264,4,2,6,无,,35152,护卫者的龙皮腰带,48676,4,159,70
100638,咒术扣带,护甲,法系输出,4,2,6,腰部,250,耐力+80；智力+80；精神+70,法术强度+105；暴击等级+54,法术强度+104；暴击等级+58,法术强度×0.9905；暴击等级×1.0741,5,394,389,1.0077,2,蓝色,红色,0,,,,357,,50795,黑暗苦痛束带,251,4,2,6,无,,35156,护卫者的皮甲腰带,48677,4,159,70
100639,灰熊丘陵腰带,护甲,法系输出,4,2,6,腰部,250,耐力+81；智力+81；精神+70,法术强度+114；急速等级+62,法术强度+110；急速等级+56,法术强度×0.9649；急速等级×0.9032,5,389,408,0.9755,1,红色,,0,,,,355,,47308,灰棘腰带,245,4,2,6,无,,34554,雷霆之心腰带,48352,4,154,70
100640,奥术·腰带,护甲,法系输出,4,2,6,腰部,250,耐力+81；智力+81；精神+67,法术强度+103；暴击等级+54,法术强度+105；暴击等级+58,法术强度×1.0194；暴击等级×1.0741,5,368,386,1.0155,0,,,0,,,,355,,48002,血蹄使者束带,245,4,2,6,无,,34558,刺杀者腰带,48357,4,154,70
100641,洪荒护腿,护甲,法系输出,4,2,7,腿部,250,耐力+108；智力+108,法术强度+146；急速等级+94；暴击等级+78,法术强度+155；急速等级+98；暴击等级+74,法术强度×1.0616；急速等级×1.0426；暴击等级×0.9487,5,510,534,1.0169,0,,,0,,,,553,,47318,苏醒护腿,245,4,2,7,无,,34169,自然侵攻护腿,47975,4,159,70
100642,深渊腿铠,护甲,法系输出,4,2,7,腿部,250,耐力+108；智力+108,法术强度+148；暴击等级+95；命中等级+79,法术强度+146；暴击等级+97；命中等级+78,法术强度×0.9865；暴击等级×1.0211；命中等级×0.9873,5,543,538,0.9981,1,蓝色,,0,,,,555,,50820,树纹长裤,251,4,2,7,无,,34188,永恒长夜护腿,47995,4,159,70
100643,星界护腿,护甲,法系输出,4,2,7,腿部,250,耐力+108；智力+108；精神+95,法术强度+139；急速等级+71,法术强度+152；急速等级+76,法术强度×1.0935；急速等级×1.0704,5,526,521,1.0345,1,红色,,0,,,,555,,50806,坚定之血护腿,251,4,2,7,无,,35000,野蛮角斗士的龙皮护腿,48603,4,159,70
100644,织法者战裙,护甲,法系输出,4,2,7,腿部,250,耐力+108；智力+108；精神+78,法术强度+146；命中等级+95,法术强度+134；命中等级+90,法术强度×0.9178；命中等级×0.9474,5,510,535,0.9682,2,黄色,蓝色,0,,,,553,,48180,符文图腾的凯旋长裤,245,4,2,7,无,,35034,野蛮角斗士的皮甲护腿,48597,4,159,70
100645,镇海踏靴,护甲,法系输出,4,2,8,脚部,250,耐力+80；智力+80,法术强度+105；急速等级+75；暴击等级+46,法术强度+110；急速等级+81；暴击等级+50,法术强度×1.0476；急速等级×1.0800；暴击等级×1.0870,5,390,386,1.0389,1,黄色,,0,,,,436,,50783,霜籽长靴,251,4,2,8,无,,35137,护卫者的龙皮长靴,48678,4,159,70
100646,破天足甲,护甲,法系输出,4,2,8,脚部,250,耐力+78；智力+84,暴击等级+85；命中等级+46；法术强度+120,暴击等级+87；命中等级+45；法术强度+120,暴击等级×1.0235；命中等级×0.9783；法术强度×1.0000,5,308,413,1.0024,0,,,0,,,,440,,47504,树皮长靴,219,4,2,8,无,,35141,护卫者的皮甲长靴,48679,4,159,70
100647,青霜护足,护甲,法系输出,4,2,8,脚部,250,耐力+81；智力+80；精神+63,法术强度+108；急速等级+64,法术强度+99；急速等级+69,法术强度×0.9167；急速等级×1.0781,5,450,396,0.9899,1,红色,,0,,,,439,,49894,塞纳里奥祝福之靴,264,4,2,8,无,,34571,雷霆之心长靴,48363,4,154,70
100648,群星·踏靴,护甲,法系输出,4,2,8,脚部,250,耐力+78；智力+84,暴击等级+85；命中等级+46；法术强度+120,暴击等级+90；命中等级+42；法术强度+110,暴击等级×1.0588；命中等级×0.9130；法术强度×0.9167,5,308,413,0.9782,1,黄色,,0,,,,440,,47504,树皮长靴,219,4,2,8,无,,34573,雷霆之心战靴,48362,4,154,70
100649,屠龙者护臂,护甲,法系输出,4,2,9,腕部,250,耐力+60；智力+59,法术强度+87；暴击等级+52；急速等级+47,法术强度+88；暴击等级+51；急速等级+43,法术强度×1.0115；暴击等级×0.9808；急速等级×0.9149,5,370,305,0.9869,2,黄色,蓝色,0,,,,280,,53134,相位移形者护腕,271,4,2,9,无,,34444,雷霆之心腕甲,48311,4,154,70
100650,追猎者回响臂甲,护甲,法系输出,4,2,9,腕部,250,耐力+60；智力+60；精神+55,法术强度+84；暴击等级+41,法术强度+83；暴击等级+39,法术强度×0.9881；暴击等级×0.9512,5,304,300,0.9900,0,,,0,,,,277,,50985,剧毒冲击护腕,251,4,2,9,无,,34445,雷霆之心护腕,48322,4,154,70
100651,泰坦监护者净世臂甲,护甲,法系输出,4,2,9,腕部,250,耐力+61；智力+61；精神+53,法术强度+93；急速等级+52,法术强度+90；急速等级+55,法术强度×0.9677；急速等级×1.0577,5,305,320,1.0000,1,红色,,0,,,,276,,47277,秋木束腕,245,4,2,9,无,,34448,刺杀者护腕,48324,4,154,70
100652,不朽·臂甲,护甲,法系输出,4,2,9,腕部,250,耐力+61；智力+61；精神+53,法术强度+84；暴击等级+44,法术强度+91；暴击等级+48,法术强度×1.0833；暴击等级×1.0909,5,288,303,1.0363,1,黄色,,0,,,,276,,47584,月影臂甲,245,4,2,9,无,,35167,护卫者的龙皮护腕,48681,4,154,70
100653,命轮之护手,护甲,法系输出,4,2,10,手部,250,耐力+80；智力+79,法术强度+106；暴击等级+63；急速等级+64,法术强度+103；暴击等级+60；急速等级+59,法术强度×0.9717；暴击等级×0.9524；急速等级×0.9219,5,422,392,0.9719,2,黄色,蓝色,0,,,,398,,53117,变形手套,258,4,2,10,无,,34234,暗影爆发护手,48018,4,159,70
100654,手套·星陨,护甲,法系输出,4,2,10,手部,250,耐力+80；智力+80,法术强度+115；暴击等级+70；命中等级+62,法术强度+125；暴击等级+73；命中等级+68,法术强度×1.0870；暴击等级×1.0429；命中等级×1.0968,5,412,407,1.0467,0,,,0,,,,397,,50822,树纹手套,251,4,2,10,无,,34372,骄阳之皮革护手,48917,4,159,70
100655,暮光审判官之护手,护甲,法系输出,4,2,10,手部,250,耐力+80；智力+80；精神+70,法术强度+105；急速等级+55,法术强度+105；急速等级+50,法术强度×1.0000；急速等级×0.9091,5,394,390,0.9872,0,,,0,,,,397,,51789,塑冰手套,251,4,2,10,无,,34408,森林流浪者手套,48059,4,159,70
100656,先驱者镇世手甲,护甲,法系输出,4,2,10,手部,250,耐力+80；智力+80,法术强度+115；暴击等级+70；命中等级+62,法术强度+104；暴击等级+64；命中等级+61,法术强度×0.9043；暴击等级×0.9143；命中等级×0.9839,5,412,407,0.9558,2,黄色,蓝色,0,,,,397,,50822,树纹手套,251,4,2,10,无,,34998,野蛮角斗士的龙皮手套,49966,4,159,70
100657,唤潮者净世兜帽,护甲,法系输出,4,3,1,头部,250,耐力+108；智力+108,法术强度+138；暴击等级+87；急速等级+79,法术强度+151；暴击等级+90；急速等级+77,法术强度×1.0942；暴击等级×1.0345；急速等级×0.9747,5,525,520,1.0269,0,,,0,,,,1145,,50843,霜巫头盔,251,4,3,1,无,,42551,真视冰雪眼罩,53564,4,200,72
100658,安其拉荣光头盔,护甲,法系输出,4,3,1,头部,250,智力+66；耐力+112,法术强度+147；暴击等级+99；命中等级+91,法术强度+154；暴击等级+94；命中等级+95,法术强度×1.0476；暴击等级×0.9495；命中等级×1.0440,5,492,515,1.0117,1,蓝色,,0,,,,1140,,49468,无尽风暴头盔,245,4,3,1,无,,34332,古尔丹的兜帽,48025,4,164,70
100659,源质之面甲,护甲,法系输出,4,3,1,头部,250,耐力+108；智力+108,法术强度+138；暴击等级+87；急速等级+79,法术强度+140；暴击等级+79；急速等级+72,法术强度×1.0145；暴击等级×0.9080；急速等级×0.9114,5,525,520,0.9750,0,,,0,,,,1145,,50837,霜巫头饰,251,4,3,1,无,,34333,奥蕾莉亚的头盔,48024,4,164,70
100660,霜痕·兜帽,护甲,法系输出,4,3,1,头部,250,智力+66；耐力+112,法术强度+147；暴击等级+99；命中等级+91,法术强度+149；暴击等级+105；命中等级+92,法术强度×1.0136；暴击等级×1.0606；命中等级×1.0110,5,492,515,1.0175,0,,,0,,,,1140,,49468,无尽风暴头盔,245,4,3,1,无,,34355,闪电蚀刻护目镜,45778,4,159,70
100661,冬泉谷幻光披肩,护甲,法系输出,4,3,3,肩部,250,耐力+80；智力+80,法术强度+105；暴击等级+70；急速等级+55,法术强度+105；暴击等级+72；急速等级+51,法术强度×1.0000；暴击等级×1.0286；急速等级×0.9273,5,394,390,0.9949,0,,,0,,,,1057,,51792,晶化白骨肩甲,251,4,3,3,无,,34194,金色森林护肩,47998,4,159,70
100662,暗影降世肩铠,护甲,法系输出,4,3,3,肩部,250,耐力+106；智力+73,暴击等级+41；命中等级+82；法术强度+111,暴击等级+44；命中等级+76；法术强度+100,暴击等级×1.0732；命中等级×0.9268；法术强度×0.9009,5,307,413,0.9661,0,,,0,,,,1066,,47250,嚎风衬肩,219,4,3,3,无,,34208,均衡肩饰,48004,4,159,70
100663,黑暗神殿泰坦肩卫,护甲,法系输出,4,3,3,肩部,250,耐力+80；智力+80,法术强度+115；暴击等级+70；急速等级+62,法术强度+122；暴击等级+73；急速等级+59,法术强度×1.0609；暴击等级×1.0429；急速等级×0.9516,5,412,407,1.0172,1,红色,,0,,,,1057,,51761,冰霜女巫肩垫,251,4,3,3,无,,34994,野蛮角斗士的链甲护肩,48609,4,159,70
100664,苍翠·披肩,护甲,法系输出,4,3,3,肩部,250,耐力+80；智力+80,法术强度+115；暴击等级+70；急速等级+62,法术强度+118；暴击等级+65；急速等级+58,法术强度×1.0261；暴击等级×0.9286；急速等级×0.9355,5,412,407,0.9853,1,黄色,,0,,,,1057,,50845,霜巫肩垫,251,4,3,3,无,,35046,野蛮角斗士的鳞甲护肩,48616,4,159,70
100665,战衣·星海,护甲,法系输出,4,3,20,胸部,250,耐力+108；智力+108,法术强度+148；暴击等级+95；急速等级+79,法术强度+154；暴击等级+100；急速等级+85,法术强度×1.0405；暴击等级×1.0526；急速等级×1.0759,5,543,538,1.0316,0,,,0,,,,1409,,50841,霜巫锁甲,251,4,3,5,无,,34228,邪恶陆行鸟胸甲,48014,4,159,70
