entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字理论归一值,触发属性预算系数,绿字触发附加前归一值,绿字最终值,绿字最终随机系数,属性条数,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,触发法术ID,触发方式,触发效果类别,效果来源装等,效果来源物品ID,效果来源物品,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
102957,游侠将军唤醒礼服,护甲,法系输出,4,1,20,胸部,280,耐力+143；智力+143；精神+126,法术强度+191；急速等级+100,1.00（触发效果额外，不扣属性预算）,法术强度+191；急速等级+100,法术强度+173；急速等级+96,法术强度×0.9058；急速等级×0.9600,5,2,红色,黄色,0,,,,372,,,,,,,,50717,血红丝质长袍,277,4,1,20,无,,34365,永恒光芒长袍,48921,4,159,70,
102958,唤星者降临外衣,护甲,法系输出,4,1,20,胸部,280,耐力+143；智力+143,法术强度+191；暴击等级+126；命中等级+101,1.00（触发效果额外，不扣属性预算）,法术强度+191；暴击等级+126；命中等级+101,法术强度+173；暴击等级+132；命中等级+98,法术强度×0.9058；暴击等级×1.0476；命中等级×0.9703,5,1,黄色,,0,,,,372,,,,,,,,50629,噩梦乍醒法袍,277,4,1,20,无,,34399,幽怨之袍,48384,4,159,70,
102959,深空腰链,护甲,法系输出,4,1,6,腰部,280,耐力+106；智力+106,法术强度+144；暴击等级+76；急速等级+92,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+76；急速等级+92,法术强度+147；暴击等级+75；急速等级+97,法术强度×1.0208；暴击等级×0.9868；急速等级×1.0543,5,1,黄色,,0,,,,210,,,,,,,,50613,破碎冷魂腰带,277,4,1,6,无,,35153,护卫者的鬼纹腰带,48683,4,159,70,
102960,腰链·凛冬余威,护甲,法系输出,4,1,6,腰部,280,耐力+107；智力+107,法术强度+142；暴击等级+100；命中等级+65,1.00（触发效果额外，不扣属性预算）,法术强度+142；暴击等级+100；命中等级+65,法术强度+141；暴击等级+101；命中等级+66,法术强度×0.9930；暴击等级×1.0100；命中等级×1.0154,5,1,蓝色,,0,,,,209,,,,,,,,54562,卑鄙腰带,271,4,1,6,无,,35159,护卫者的月布腰带,48686,4,159,70,
102961,长夜围带,护甲,法系输出,4,1,6,腰部,280,耐力+107；智力+108；精神+73,法术强度+140；急速等级+89,1.00（触发效果额外，不扣属性预算）,法术强度+140；急速等级+89,法术强度+131；急速等级+93,法术强度×0.9357；急速等级×1.0449,5,2,红色,黄色,0,,,,208,,,,,,,,51930,恩医束带,264,4,1,6,无,,35164,护卫者的丝质腰带,48689,4,159,70,
102962,永夜束带,护甲,法系输出,4,1,6,腰部,280,耐力+107；智力+108,法术强度+140；暴击等级+93；命中等级+75,1.00（触发效果额外，不扣属性预算）,法术强度+140；暴击等级+93；命中等级+75,法术强度+147；暴击等级+96；命中等级+77,法术强度×1.0500；暴击等级×1.0323；命中等级×1.0267,5,0,,,0,,,,208,,,,,,,,50996,渎职腰带,264,4,1,6,无,,34527,赦免腰带,48356,4,154,70,
102963,屠龙者裁断腿胄,护甲,法系输出,4,1,7,腿部,280,耐力+143；智力+145,法术强度+186；急速等级+110；暴击等级+112,1.00（触发效果额外，不扣属性预算）,法术强度+186；急速等级+110；暴击等级+112,法术强度+175；急速等级+113；暴击等级+119,法术强度×0.9409；急速等级×1.0273；暴击等级×1.0625,5,1,黄色,,0,,,,324,,,,,,,,51882,新伤褶裙,264,4,1,7,无,,34170,止战马裤,48295,4,159,70,
102964,无声裁决·护胫,护甲,法系输出,4,1,7,腿部,280,耐力+143；智力+143,法术强度+200；暴击等级+126；命中等级+109,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+126；命中等级+109,法术强度+211；暴击等级+131；命中等级+99,法术强度×1.0550；暴击等级×1.0397；命中等级×0.9083,5,2,蓝色,红色,0,,,,326,,,,,,,,51282,神圣血法护腿,277,4,1,7,无,,34181,灾难护腿,48296,4,159,70,
102965,最后守望·下装,护甲,法系输出,4,1,7,腿部,280,耐力+143；智力+143；精神+126,法术强度+200；急速等级+109,1.00（触发效果额外，不扣属性预算）,法术强度+200；急速等级+109,法术强度+190；急速等级+105,法术强度×0.9500；急速等级×0.9633,5,1,红色,,0,,,,326,,,,,,,,51262,神圣血色侍僧护腿,277,4,1,7,无,,34386,激战长裤,48307,4,159,70,
102966,黑锋骑士凝视腿铠,护甲,法系输出,4,1,7,腿部,280,耐力+143；智力+143,法术强度+200；暴击等级+126；命中等级+109,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+126；命中等级+109,法术强度+201；暴击等级+116；命中等级+106,法术强度×1.0050；暴击等级×0.9206；命中等级×0.9725,5,1,黄色,,0,,,,326,,,,,,,,51258,神圣血色侍僧长裤,277,4,1,7,无,,35005,野蛮角斗士的鬼纹护腿,49952,4,159,70,
102967,红龙军团的黎明赞歌,护甲,法系输出,4,1,8,脚部,280,耐力+106；智力+106,法术强度+144；急速等级+92；暴击等级+76,1.00（触发效果额外，不扣属性预算）,法术强度+144；急速等级+92；暴击等级+76,法术强度+158；急速等级+89；暴击等级+74,法术强度×1.0972；急速等级×0.9674；暴击等级×0.9737,5,1,黄色,,0,,,,256,,,,,,,,50699,瘟疫科学家长靴,277,4,1,8,无,,35138,护卫者的鬼纹软靴,48685,4,159,70,
102968,永恒征途·足具,护甲,法系输出,4,1,8,脚部,280,耐力+107；智力+108,法术强度+140；命中等级+63；暴击等级+100,1.00（触发效果额外，不扣属性预算）,法术强度+140；命中等级+63；暴击等级+100,法术强度+134；命中等级+68；暴击等级+107,法术强度×0.9571；命中等级×1.0794；暴击等级×1.0700,5,2,蓝色,红色,0,,,,255,,,,,,,,51899,冰冠尖塔便鞋,264,4,1,8,无,,35144,护卫者的月布便鞋,48688,4,159,70,
102969,奥术足具,护甲,法系输出,4,1,8,脚部,280,耐力+106；智力+107,法术强度+138；命中等级+75；急速等级+91,1.00（触发效果额外，不扣属性预算）,法术强度+138；命中等级+75；急速等级+91,法术强度+150；命中等级+76；急速等级+97,法术强度×1.0870；命中等级×1.0133；急速等级×1.0659,5,0,,,0,,,,254,,,,,,,,47482,浮冰长靴,258,4,1,8,无,,35149,护卫者的丝质裹足,48691,4,159,70,
102970,苍穹洞察足具,护甲,法系输出,4,1,8,脚部,280,耐力+107；智力+108,法术强度+140；命中等级+75；暴击等级+93,1.00（触发效果额外，不扣属性预算）,法术强度+140；命中等级+75；暴击等级+93,法术强度+135；命中等级+81；暴击等级+93,法术强度×0.9643；命中等级×1.0800；暴击等级×1.0000,5,1,黄色,,0,,,,255,,,,,,,,49890,亡霜布履,264,4,1,8,无,,34562,赦免长靴,48367,4,154,70,
102971,深空护腕,护甲,法系输出,4,1,9,腕部,280,耐力+80；智力+80,法术强度+114；暴击等级+63；急速等级+71,1.00（触发效果额外，不扣属性预算）,法术强度+114；暴击等级+63；急速等级+71,法术强度+106；暴击等级+66；急速等级+77,法术强度×0.9298；暴击等级×1.0476；急速等级×1.0845,5,1,黄色,,0,,,,163,,,,,,,,54582,夜火护腕,284,4,1,9,无,,34434,赦免护腕,48321,4,154,70,
102972,黑锋骑士团永夜臂环,护甲,法系输出,4,1,9,腕部,280,耐力+80；智力+80,法术强度+113；暴击等级+75；命中等级+54,1.00（触发效果额外，不扣属性预算）,法术强度+113；暴击等级+75；命中等级+54,法术强度+105；暴击等级+76；命中等级+51,法术强度×0.9292；暴击等级×1.0133；命中等级×0.9444,5,1,蓝色,,0,,,,163,,,,,,,,50651,亡语者女士的脆弱护腕,277,4,1,9,无,,34436,凶星护腕,48349,4,154,70,
102973,惊雷·臂环,护甲,法系输出,4,1,9,腕部,280,耐力+80；智力+81,法术强度+111；命中等级+45；急速等级+79,1.00（触发效果额外，不扣属性预算）,法术强度+111；命中等级+45；急速等级+79,法术强度+116；命中等级+43；急速等级+74,法术强度×1.0450；命中等级×0.9556；急速等级×0.9367,5,1,红色,,0,,,,162,,,,,,,,51872,药浸护腕,264,4,1,9,无,,34447,风暴护腕,48316,4,154,70,
102974,龙眠的群星回响,护甲,法系输出,4,1,9,腕部,280,耐力+80；智力+80,法术强度+113；暴击等级+75；命中等级+54,1.00（触发效果额外，不扣属性预算）,法术强度+113；暴击等级+75；命中等级+54,法术强度+114；暴击等级+81；命中等级+49,法术强度×1.0088；暴击等级×1.0800；命中等级×0.9074,5,0,,,0,,,,163,,,,,,,,50651,亡语者女士的脆弱护腕,277,4,1,9,无,,35168,护卫者的鬼纹护腕,48684,4,154,70,
102975,圣贤之符文,护甲,法系输出,4,1,10,手部,280,耐力+107；智力+108,法术强度+140；暴击等级+93；急速等级+73,1.00（触发效果额外，不扣属性预算）,法术强度+140；暴击等级+93；急速等级+73,法术强度+153；暴击等级+94；急速等级+78,法术强度×1.0929；暴击等级×1.0108；急速等级×1.0685,5,0,,,0,,,,231,,,,,,,,50983,假意手套,264,4,1,10,无,,34342,黎明护手,48305,4,164,70,
102976,符文大师之深空,护甲,法系输出,4,1,10,手部,280,耐力+106；智力+106,法术强度+154；暴击等级+93；命中等级+84,1.00（触发效果额外，不扣属性预算）,法术强度+154；暴击等级+93；命中等级+84,法术强度+140；暴击等级+95；命中等级+78,法术强度×0.9091；暴击等级×1.0215；命中等级×0.9286,5,1,蓝色,,0,,,,233,,,,,,,,51280,神圣血法手套,277,4,1,10,无,,34344,诸界亵渎护手,48306,4,164,70,
102977,永夜破界战拳,护甲,法系输出,4,1,10,手部,280,耐力+106；智力+106；精神+93,法术强度+154；急速等级+84,1.00（触发效果额外，不扣属性预算）,法术强度+154；急速等级+84,法术强度+159；急速等级+78,法术强度×1.0325；急速等级×0.9286,5,1,红色,,0,,,,233,,,,,,,,51260,神圣血色侍僧手套,277,4,1,10,无,,34406,泰莉的强能手套,48387,4,164,70,
102978,手甲·风暴前夜,护甲,法系输出,4,1,10,手部,280,耐力+106；智力+106,法术强度+154；暴击等级+93；命中等级+84,1.00（触发效果额外，不扣属性预算）,法术强度+154；暴击等级+93；命中等级+84,法术强度+165；暴击等级+86；命中等级+81,法术强度×1.0714；暴击等级×0.9247；命中等级×0.9643,5,0,,,0,,,,233,,,,,,,,51256,神圣血色侍僧裹手,277,4,1,10,无,,34366,阳炎护手,48923,4,159,70,
102979,大领主凝视战盔,护甲,法系输出,4,2,1,头部,280,耐力+143；智力+143,法术强度+191；暴击等级+117；急速等级+109,1.00（触发效果额外，不扣属性预算）,法术强度+191；暴击等级+117；急速等级+109,法术强度+175；暴击等级+120；急速等级+117,法术强度×0.9162；暴击等级×1.0256；急速等级×1.0734,5,3,混沌,红色,0,,,,569,,,,,,,,51290,神圣树纹头巾,277,4,2,1,无,,42550,弱点分析眼镜,45779,4,200,72,黄色
102980,暗影穹殿符文面罩,护甲,法系输出,4,2,1,头部,280,耐力+143；智力+145,法术强度+183；命中等级+117；暴击等级+107,1.00（触发效果额外，不扣属性预算）,法术强度+183；命中等级+117；暴击等级+107,法术强度+183；命中等级+127；暴击等级+103,法术强度×1.0000；命中等级×1.0855；暴击等级×0.9626,5,2,混沌,红色,0,,,,564,,,,,,,,48174,符文图腾的凯旋头巾,258,4,2,1,无,,42554,绿色视界护目镜,45780,4,200,72,
102981,深空战盔,护甲,法系输出,4,2,1,头部,280,耐力+143；智力+147；精神+116,法术强度+177；急速等级+99,1.00（触发效果额外，不扣属性预算）,法术强度+177；急速等级+99,法术强度+185；急速等级+96,法术强度×1.0452；急速等级×0.9697,5,3,混沌,红色,0,,,,560,,,,,,,,47691,盎然生机面罩,245,4,2,1,无,,34244,狡诈之盔,48020,4,164,70,蓝色
102982,惊雷·面甲,护甲,法系输出,4,2,1,头部,280,耐力+143；智力+145,法术强度+183；命中等级+117；暴击等级+107,1.00（触发效果额外，不扣属性预算）,法术强度+183；命中等级+117；暴击等级+107,法术强度+183；命中等级+106；暴击等级+102,法术强度×1.0000；命中等级×0.9060；暴击等级×0.9533,5,2,混沌,黄色,0,,,,564,,,,,,,,48171,玛法里奥的凯旋头巾,258,4,2,1,无,,34245,智者乌索尔之帽,48019,4,164,70,
102983,肩铠·霜火,护甲,法系输出,4,2,3,肩部,280,耐力+106；智力+106,法术强度+154；暴击等级+93；急速等级+84,1.00（触发效果额外，不扣属性预算）,法术强度+154；暴击等级+93；急速等级+84,法术强度+162；暴击等级+102；急速等级+92,法术强度×1.0519；暴击等级×1.0968；急速等级×1.0952,5,0,,,0,,,,526,,,,,,,,51292,神圣树纹衬肩,277,4,2,3,无,,34195,盛怒护肩,47999,4,159,70,
102984,龙眠的泰坦遗训,护甲,法系输出,4,2,3,肩部,280,耐力+106；智力+106；精神+93,法术强度+154；暴击等级+84,1.00（触发效果额外，不扣属性预算）,法术强度+154；暴击等级+84,法术强度+147；暴击等级+77,法术强度×0.9545；暴击等级×0.9167,5,1,蓝色,,0,,,,526,,,,,,,,51304,神圣树纹肩甲,277,4,2,3,无,,34209,拓荒护肩,48005,4,159,70,
102985,永夜披肩,护甲,法系输出,4,2,3,肩部,280,耐力+106；智力+106；精神+93,法术强度+144；急速等级+76,1.00（触发效果额外，不扣属性预算）,法术强度+144；急速等级+76,法术强度+156；急速等级+81,法术强度×1.0833；急速等级×1.0658,5,0,,,0,,,,526,,,,,,,,50715,霜尖荆棘护肩,277,4,2,3,无,,34392,魔牙护肩,48052,4,159,70,
102986,灵辉之霜原孤歌,护甲,法系输出,4,2,3,肩部,280,耐力+106；智力+106；精神+93,法术强度+154；暴击等级+84,1.00（触发效果额外，不扣属性预算）,法术强度+154；暴击等级+84,法术强度+148；暴击等级+87,法术强度×0.9610；暴击等级×1.0357,5,1,黄色,,0,,,,526,,,,,,,,51304,神圣树纹肩甲,277,4,2,3,无,,35001,野蛮角斗士的龙皮护肩,48591,4,159,70,
102987,暮光审判官的外衣,护甲,法系输出,4,2,20,胸部,280,耐力+143；智力+143,法术强度+200；暴击等级+126；急速等级+109,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+126；急速等级+109,法术强度+183；暴击等级+116；急速等级+103,法术强度×0.9150；暴击等级×0.9206；急速等级×0.9450,5,2,黄色,蓝色,0,,,,700,,,,,,,,51294,神圣树纹法衣,277,4,2,20,无,,34211,野兽本能外套,48011,4,159,70,
102988,风暴前夜·法衣,护甲,法系输出,4,2,20,胸部,280,耐力+143；智力+143；精神+126,法术强度+200；暴击等级+109,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+109,法术强度+187；暴击等级+113,法术强度×0.9350；暴击等级×1.0367,5,1,蓝色,,0,,,,700,,,,,,,,51300,神圣树纹长袍,277,4,2,20,无,,34212,阳光外衣,48012,4,159,70,
102989,霜脉矮人星界外衣,护甲,法系输出,4,2,20,胸部,280,耐力+143；智力+145；精神+98,法术强度+186；急速等级+123,1.00（触发效果额外，不扣属性预算）,法术强度+186；急速等级+123,法术强度+198；急速等级+120,法术强度×1.0645；急速等级×0.9756,5,1,红色,,0,,,,697,,,,,,,,50973,杉林胸甲,264,4,2,20,无,,34369,烈日暗影甲冑,48912,4,159,70,
102990,奥术之苍白月色,护甲,法系输出,4,2,20,胸部,280,耐力+143；智力+143；精神+126,法术强度+191；暴击等级+101,1.00（触发效果额外，不扣属性预算）,法术强度+191；暴击等级+101,法术强度+207；暴击等级+110,法术强度×1.0838；暴击等级×1.0891,5,1,黄色,,0,,,,700,,,,,,,,50649,亡语胸甲,277,4,2,20,无,,34371,骄阳之皮革胸甲,48916,4,159,70,
102991,风暴峭壁暮星护腰,护甲,法系输出,4,2,6,腰部,280,耐力+107；智力+108,法术强度+140；暴击等级+93；急速等级+73,1.00（触发效果额外，不扣属性预算）,法术强度+140；暴击等级+93；急速等级+73,法术强度+136；暴击等级+87；急速等级+66,法术强度×0.9714；暴击等级×0.9355；急速等级×0.9041,5,1,黄色,,0,,,,392,,,,,,,,50994,石化藤条腰带,264,4,2,6,无,,35152,护卫者的龙皮腰带,48676,4,159,70,
102992,游侠将军的战带,护甲,法系输出,4,2,6,腰部,280,耐力+107；智力+108；精神+94,法术强度+140；暴击等级+75,1.00（触发效果额外，不扣属性预算）,法术强度+140；暴击等级+75,法术强度+130；暴击等级+75,法术强度×0.9286；暴击等级×1.0000,5,2,蓝色,红色,0,,,,392,,,,,,,,51908,黑暗苦痛束带,264,4,2,6,无,,35156,护卫者的皮甲腰带,48677,4,159,70,
102993,泰坦监护者凝视腰甲,护甲,法系输出,4,2,6,腰部,280,耐力+106；智力+106；精神+76,法术强度+144；急速等级+92,1.00（触发效果额外，不扣属性预算）,法术强度+144；急速等级+92,法术强度+132；急速等级+83,法术强度×0.9167；急速等级×0.9022,5,0,,,0,,,,394,,,,,,,,50705,教授的染血工作服,277,4,2,6,无,,34554,雷霆之心腰带,48352,4,154,70,
102994,泰坦遗迹的群星回响,护甲,法系输出,4,2,6,腰部,280,耐力+106；智力+106；精神+76,法术强度+144；急速等级+92,1.00（触发效果额外，不扣属性预算）,法术强度+144；急速等级+92,法术强度+141；急速等级+91,法术强度×0.9792；急速等级×0.9891,5,1,黄色,,0,,,,394,,,,,,,,50705,教授的染血工作服,277,4,2,6,无,,34558,刺杀者腰带,48357,4,154,70,
102995,群星回响·战裙,护甲,法系输出,4,2,7,腿部,280,耐力+143；智力+145,法术强度+183；急速等级+113；暴击等级+107,1.00（触发效果额外，不扣属性预算）,法术强度+183；急速等级+113；暴击等级+107,法术强度+169；急速等级+102；暴击等级+114,法术强度×0.9235；急速等级×0.9027；暴击等级×1.0654,5,0,,,0,,,,608,,,,,,,,47479,苏醒护腿,258,4,2,7,无,,34169,自然侵攻护腿,47975,4,159,70,
102996,荒野猎手的护腿,护甲,法系输出,4,2,7,腿部,280,耐力+143；智力+143,法术强度+200；暴击等级+126；命中等级+109,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+126；命中等级+109,法术强度+210；暴击等级+122；命中等级+116,法术强度×1.0500；暴击等级×0.9683；命中等级×1.0642,5,2,蓝色,红色,0,,,,613,,,,,,,,51293,神圣树纹长裤,277,4,2,7,无,,34188,永恒长夜护腿,47995,4,159,70,
102997,逐日者之深空,护甲,法系输出,4,2,7,腿部,280,耐力+143；智力+143；精神+126,法术强度+200；急速等级+107,1.00（触发效果额外，不扣属性预算）,法术强度+200；急速等级+107,法术强度+219；急速等级+110,法术强度×1.0950；急速等级×1.0280,5,0,,,0,,,,613,,,,,,,,51303,神圣树纹腿甲,277,4,2,7,无,,35000,野蛮角斗士的龙皮护腿,48603,4,159,70,
102998,战裙·远古誓言,护甲,法系输出,4,2,7,腿部,280,耐力+143；智力+143,法术强度+200；暴击等级+126；命中等级+109,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+126；命中等级+109,法术强度+216；暴击等级+114；命中等级+114,法术强度×1.0800；暴击等级×0.9048；命中等级×1.0459,5,2,黄色,蓝色,0,,,,613,,,,,,,,51293,神圣树纹长裤,277,4,2,7,无,,35034,野蛮角斗士的皮甲护腿,48597,4,159,70,
102999,奥术之余烬,护甲,法系输出,4,2,8,脚部,280,耐力+107；智力+108,法术强度+140；急速等级+98；暴击等级+63,1.00（触发效果额外，不扣属性预算）,法术强度+140；急速等级+98；暴击等级+63,法术强度+127；急速等级+102；暴击等级+59,法术强度×0.9071；急速等级×1.0408；暴击等级×0.9365,5,2,黄色,蓝色,0,,,,479,,,,,,,,51920,霜籽长靴,264,4,2,8,无,,35137,护卫者的龙皮长靴,48678,4,159,70,
103000,无声裁决·长靴,护甲,法系输出,4,2,8,脚部,280,耐力+106；智力+106；精神+76,法术强度+144；暴击等级+93,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+93,法术强度+146；暴击等级+90,法术强度×1.0139；暴击等级×0.9677,5,2,蓝色,红色,0,,,,481,,,,,,,,50665,非自然成长长靴,277,4,2,8,无,,35141,护卫者的皮甲长靴,48679,4,159,70,
103001,远古誓言·踏靴,护甲,法系输出,4,2,8,脚部,280,耐力+107；智力+108；精神+84,法术强度+140；急速等级+82,1.00（触发效果额外，不扣属性预算）,法术强度+140；急速等级+82,法术强度+130；急速等级+83,法术强度×0.9286；急速等级×1.0122,5,0,,,0,,,,479,,,,,,,,49894,塞纳里奥祝福之靴,264,4,2,8,无,,34571,雷霆之心长靴,48363,4,154,70,
103002,霜裔之星界,护甲,法系输出,4,2,8,脚部,280,耐力+106；智力+106；精神+76,法术强度+144；暴击等级+93,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+93,法术强度+148；暴击等级+94,法术强度×1.0278；暴击等级×1.0108,5,1,黄色,,0,,,,481,,,,,,,,50665,非自然成长长靴,277,4,2,8,无,,34573,雷霆之心战靴,48362,4,154,70,
103003,逐日者凝视腕铠,护甲,法系输出,4,2,9,腕部,280,耐力+80；智力+80,法术强度+114；暴击等级+70；急速等级+63,1.00（触发效果额外，不扣属性预算）,法术强度+114；暴击等级+70；急速等级+63,法术强度+117；暴击等级+65；急速等级+64,法术强度×1.0263；暴击等级×0.9286；急速等级×1.0159,5,1,黄色,,0,,,,307,,,,,,,,54584,相位移形者护腕,284,4,2,9,无,,34444,雷霆之心腕甲,48311,4,154,70,
103004,星界旅者的腕铠,护甲,法系输出,4,2,9,腕部,280,耐力+80；智力+80；精神+70,法术强度+113；暴击等级+62,1.00（触发效果额外，不扣属性预算）,法术强度+113；暴击等级+62,法术强度+109；暴击等级+62,法术强度×0.9646；暴击等级×1.0000,5,1,蓝色,,0,,,,307,,,,,,,,50630,无尽梦境护腕,277,4,2,9,无,,34445,雷霆之心护腕,48322,4,154,70,
103005,时流之新月,护甲,法系输出,4,2,9,腕部,280,耐力+80；智力+81；精神+61,法术强度+110；急速等级+68,1.00（触发效果额外，不扣属性预算）,法术强度+110；急速等级+68,法术强度+107；急速等级+62,法术强度×0.9727；急速等级×0.9118,5,1,红色,,0,,,,304,,,,,,,,47438,秋木束腕,258,4,2,9,无,,34448,刺杀者护腕,48324,4,154,70,
103006,腕甲·不灭烽火,护甲,法系输出,4,2,9,腕部,280,耐力+79；智力+80,法术强度+112；暴击等级+70；急速等级+60,1.00（触发效果额外，不扣属性预算）,法术强度+112；暴击等级+70；急速等级+60,法术强度+113；暴击等级+75；急速等级+61,法术强度×1.0089；暴击等级×1.0714；急速等级×1.0167,5,2,黄色,蓝色,0,,,,306,,,,,,,,53134,相位移形者护腕,271,4,2,9,无,,35167,护卫者的龙皮护腕,48681,4,154,70,
