指标,分类,指数系数k,每13装等倍率,R²,等级点数,推荐公式
基础护甲,板甲/腕部,0.002889,1.03827,0.9833720966852266,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,板甲/腰部,0.00289354,1.03833,0.9793276549878265,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,板甲/腿部,0.00289458,1.03835,0.9792743437053206,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/头部,0.00288215,1.03818,0.9834849517785782,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/手部,0.00291572,1.03863,0.9851366313824368,13,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/肩部,0.00292261,1.03872,0.9790479317729446,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/胸甲,0.0029272,1.03879,0.98098394718171,13,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/脚部,0.00834591,1.1146,0.48609436045981624,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/腕部,0.00292613,1.03877,0.9885360870137165,13,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/腰部,0.00286026,1.03788,0.9805647844301585,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/腿部,0.00292473,1.03875,0.9800595683075941,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,皮甲/长袍,0.00296352,1.03928,0.983811704876124,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,盾牌/盾牌,0.00289559,1.03836,0.9793248435533364,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/头部,0.0028913,1.0383,0.9787873701833384,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/手部,0.00289203,1.03831,0.9784453470297115,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/肩部,0.0029131,1.0386,0.985721495867959,13,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/胸甲,0.00287069,1.03802,0.9802955583134135,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/脚部,0.00290223,1.03845,0.9795451682866474,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/腕部,0.00285575,1.03782,0.9756060069402098,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/腰部,0.00287977,1.03815,0.9832089006715587,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/腿部,0.00288208,1.03818,0.9838673425598906,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,锁甲/长袍,0.00300221,1.0398,0.9864111171814662,5,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,敏捷,0.01368363,1.19469,,15,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,力量,0.01023712,1.14234,,24,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,智力,0.01013598,1.14084,,18,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,精神,0.00980056,1.13588,,10,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,耐力,0.00939838,1.12996,,48,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,防御等级,0.00879858,1.12118,,11,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,躲闪等级,0.0074151,1.1012,,3,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,招架等级,0.00947473,1.13108,,6,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,命中等级,0.00999456,1.13875,,20,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,暴击等级,0.00971821,1.13466,,34,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,韧性等级,0.00968944,1.13424,,5,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,急速等级,0.00831172,1.11411,,27,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,精准等级,0.00908912,1.12542,,7,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,攻击强度,0.00657337,1.08921,,9,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,每5秒法力回复,0.00977322,1.13548,,9,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,护甲穿透等级,0.00835108,1.11468,,12,目标值=基准值*EXP(k*(目标装等-基准装等))
属性近似,法术强度,0.00863106,1.11874,,19,目标值=基准值*EXP(k*(目标装等-基准装等))
