entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,260归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
101185,赤焰惊涛腰带,护甲,法系输出,4,1,6,腰部,260,耐力+88；智力+88,法术强度+116；暴击等级+74；命中等级+59,法术强度+110；暴击等级+73；命中等级+63,法术强度×0.9483；暴击等级×0.9865；命中等级×1.0678,5,417,425,0.9929,0,,,0,,,,196,,47447,凛冬腰带,258,4,1,6,无,,34527,赦免腰带,48356,4,154,70,
101186,青霜之裤腿,护甲,法系输出,4,1,7,腿部,260,耐力+118；智力+118,法术强度+163；暴击等级+104；急速等级+87,法术强度+170；暴击等级+109；急速等级+95,法术强度×1.0429；暴击等级×1.0481；急速等级×1.0920,5,580,590,1.0339,2,黄色,蓝色,0,,,,305,,47795,古尔丹的凯旋护腿,258,4,1,7,无,,34170,止战马裤,48295,4,159,70,
101187,太古照夜腿甲,护甲,法系输出,4,1,7,腿部,260,耐力+118；智力+118,法术强度+154；命中等级+96；暴击等级+88,法术强度+147；命中等级+94；暴击等级+89,法术强度×0.9545；命中等级×0.9792；暴击等级×1.0114,5,563,574,0.9861,0,,,0,,,,305,,47478,深空长裤,258,4,1,7,无,,34181,灾难护腿,48296,4,159,70,
101188,轰雷长裤,护甲,法系输出,4,1,7,腿部,260,耐力+118；智力+118,法术强度+163；急速等级+87；命中等级+104,法术强度+172；急速等级+85；命中等级+111,法术强度×1.0552；急速等级×0.9770；命中等级×1.0673,5,580,590,1.0237,0,,,0,,,,305,,48089,萨布拉的凯旋长裤,258,4,1,7,无,,34386,激战长裤,48307,4,159,70,
101189,冬拥湖秘银长裤,护甲,法系输出,4,1,7,腿部,260,耐力+118；智力+118,法术强度+163；急速等级+87；命中等级+104,法术强度+149；急速等级+94；命中等级+96,法术强度×0.9141；急速等级×1.0805；命中等级×0.9231,5,580,590,0.9746,2,黄色,蓝色,0,,,,305,,48084,维伦的凯旋长裤,258,4,1,7,无,,35005,野蛮角斗士的鬼纹护腿,49952,4,159,70,
101190,霜痕破夜长靴,护甲,法系输出,4,1,8,脚部,260,耐力+89；智力+88,法术强度+118；急速等级+62；暴击等级+77,法术强度+110；急速等级+56；暴击等级+72,法术强度×0.9322；急速等级×0.9032；暴击等级×0.9351,5,450,434,0.9562,1,黄色,,0,,,,240,,61015,繁花之法鞋,264,4,1,8,无,,35138,护卫者的鬼纹软靴,48685,4,159,70,
101191,炽焰·长靴,护甲,法系输出,4,1,8,脚部,260,耐力+89；智力+88,法术强度+118；命中等级+52；暴击等级+83,法术强度+125；命中等级+49；暴击等级+77,法术强度×1.0593；命中等级×0.9423；暴击等级×0.9277,5,446,430,0.9953,1,蓝色,,0,,,,240,,51899,冰冠尖塔便鞋,264,4,1,8,无,,35144,护卫者的月布便鞋,48688,4,159,70,
101192,镇渊布靴,护甲,法系输出,4,1,8,脚部,260,耐力+88；智力+88,法术强度+116；命中等级+61；急速等级+77,法术强度+122；命中等级+58；急速等级+84,法术强度×1.0517；命中等级×0.9508；急速等级×1.0909,5,422,430,1.0233,2,红色,黄色,0,,,,239,,47482,浮冰长靴,258,4,1,8,无,,35149,护卫者的丝质裹足,48691,4,159,70,
101193,虚空风暴征途布靴,护甲,法系输出,4,1,8,脚部,260,耐力+88；智力+88,法术强度+116；命中等级+61；急速等级+77,法术强度+105；命中等级+59；急速等级+72,法术强度×0.9052；命中等级×0.9672；急速等级×0.9351,5,422,430,0.9581,2,黄色,蓝色,0,,,,239,,47205,浮冰软鞋,258,4,1,8,无,,34562,赦免长靴,48367,4,154,70,
101194,仲裁者之腕轮,护甲,法系输出,4,1,9,腕部,260,耐力+66；智力+65,法术强度+95；暴击等级+50；急速等级+58,法术强度+96；暴击等级+50；急速等级+59,法术强度×1.0105；暴击等级×1.0000；急速等级×1.0172,5,370,334,1.0060,0,,,0,,,,153,,53486,夜火护腕,271,4,1,9,无,,34434,赦免护腕,48321,4,154,70,
101195,圣贤护臂,护甲,法系输出,4,1,9,腕部,260,耐力+66；智力+66,法术强度+93；命中等级+44；暴击等级+58,法术强度+92；命中等级+41；暴击等级+54,法术强度×0.9892；命中等级×0.9318；暴击等级×0.9310,5,321,327,0.9755,1,蓝色,,0,,,,153,,47467,黑暗精粹腕轮,258,4,1,9,无,,34436,凶星护腕,48349,4,154,70,
101196,嚎风峡湾护腕,护甲,法系输出,4,1,9,腕部,260,耐力+66；智力+66；精神+58,法术强度+93；急速等级+50,法术强度+95；急速等级+49,法术强度×1.0215；急速等级×0.9800,5,327,333,1.0030,0,,,0,,,,153,,47485,苍白圣徒护腕,258,4,1,9,无,,34447,风暴护腕,48316,4,154,70,
101197,神恩腕饰,护甲,法系输出,4,1,9,腕部,260,耐力+66；智力+66,法术强度+93；命中等级+44；暴击等级+58,法术强度+95；命中等级+47；暴击等级+53,法术强度×1.0215；命中等级×1.0682；暴击等级×0.9138,5,321,327,1.0000,1,黄色,,0,,,,153,,47143,黑暗精粹护腕,258,4,1,9,无,,35168,护卫者的鬼纹护腕,48684,4,154,70,
101198,秘法护手,护甲,法系输出,4,1,10,手部,260,耐力+88；智力+88,法术强度+126；暴击等级+77；急速等级+69,法术强度+117；暴击等级+70；急速等级+63,法术强度×0.9286；暴击等级×0.9091；急速等级×0.9130,5,440,448,0.9509,1,黄色,,0,,,,218,,47763,逐日者的凯旋护手,258,4,1,10,无,,34342,黎明护手,48305,4,164,70,
101199,海加尔山手套,护甲,法系输出,4,1,10,手部,260,耐力+88；智力+88,法术强度+126；命中等级+69；暴击等级+77,法术强度+138；命中等级+74；暴击等级+74,法术强度×1.0952；命中等级×1.0725；暴击等级×0.9610,5,440,448,1.0312,2,蓝色,红色,0,,,,218,,48087,萨布拉的凯旋裹手,258,4,1,10,无,,34344,诸界亵渎护手,48306,4,164,70,
101200,自然碎星手套,护甲,法系输出,4,1,10,手部,260,耐力+88；智力+88；精神+69,法术强度+126；急速等级+77,法术强度+118；急速等级+81,法术强度×0.9365；急速等级×1.0519,5,440,448,0.9911,1,红色,,0,,,,218,,48057,萨布拉的凯旋兜帽,258,4,1,10,无,,34406,泰莉的强能手套,48387,4,164,70,
101201,静潮御风护手,护甲,法系输出,4,1,10,手部,260,耐力+88；智力+88,法术强度+126；命中等级+69；暴击等级+77,法术强度+127；命中等级+68；暴击等级+83,法术强度×1.0079；命中等级×0.9855；暴击等级×1.0779,5,440,448,1.0134,2,黄色,蓝色,0,,,,218,,48086,维伦的凯旋裹手,258,4,1,10,无,,34366,阳炎护手,48923,4,159,70,
101202,失落·战盔,护甲,法系输出,4,2,1,头部,260,耐力+118；智力+118,法术强度+157；暴击等级+96；急速等级+89,法术强度+170；暴击等级+90；急速等级+86,法术强度×1.0828；暴击等级×0.9375；急速等级×0.9663,5,600,578,1.0069,3,混沌,红色,0,,,,534,,51149,神圣树纹头巾,264,4,2,1,无,,42550,弱点分析眼镜,45779,4,200,72,红色
101203,风暴峭壁头冠,护甲,法系输出,4,2,1,头部,260,耐力+118；智力+118,法术强度+154；命中等级+96；暴击等级+88,法术强度+155；命中等级+92；暴击等级+86,法术强度×1.0065；命中等级×0.9583；暴击等级×0.9773,5,563,574,0.9913,2,混沌,红色,0,,,,532,,48174,符文图腾的凯旋头巾,258,4,2,1,无,,42554,绿色视界护目镜,45780,4,200,72,
101204,星陨头冠,护甲,法系输出,4,2,1,头部,260,耐力+119；智力+120；精神+95,法术强度+149；急速等级+84,法术强度+142；急速等级+77,法术强度×0.9530；急速等级×0.9167,5,493,567,0.9753,2,混沌,红色,0,,,,528,,47691,盎然生机面罩,245,4,2,1,无,,34244,狡诈之盔,48020,4,164,70,
101205,青铜之兜帽,护甲,法系输出,4,2,1,头部,260,耐力+118；智力+118,法术强度+154；命中等级+96；暴击等级+88,法术强度+139；命中等级+88；暴击等级+88,法术强度×0.9026；命中等级×0.9167；暴击等级×1.0000,5,563,574,0.9599,3,混沌,黄色,0,,,,532,,48171,玛法里奥的凯旋头巾,258,4,2,1,无,,34245,智者乌索尔之帽,48019,4,164,70,黄色
101206,烈焰·肩卫,护甲,法系输出,4,2,3,肩部,260,耐力+89；智力+88,法术强度+128；暴击等级+77；急速等级+70,法术强度+117；暴击等级+72；急速等级+68,法术强度×0.9141；暴击等级×0.9351；急速等级×0.9714,5,468,452,0.9602,2,黄色,蓝色,0,,,,493,,51147,神圣树纹衬肩,264,4,2,3,无,,34195,盛怒护肩,47999,4,159,70,
101207,沙塔斯肩甲,护甲,法系输出,4,2,3,肩部,260,耐力+88；智力+88；精神+78,法术强度+126；暴击等级+69,法术强度+118；暴击等级+75,法术强度×0.9365；暴击等级×1.0870,5,440,449,0.9955,2,蓝色,红色,0,,,,492,,48177,符文图腾的凯旋护肩,258,4,2,3,无,,34209,拓荒护肩,48005,4,159,70,
101208,霜狼酋长之肩甲,护甲,法系输出,4,2,3,肩部,260,耐力+88；智力+88；精神+69,法术强度+126；急速等级+77,法术强度+121；急速等级+76,法术强度×0.9603；急速等级×0.9870,5,440,448,0.9866,0,,,0,,,,492,,48147,符文图腾的凯旋肩铠,258,4,2,3,无,,34392,魔牙护肩,48052,4,159,70,
101209,幻光镇压披肩,护甲,法系输出,4,2,3,肩部,260,耐力+88；智力+88；精神+78,法术强度+126；暴击等级+69,法术强度+131；暴击等级+75,法术强度×1.0397；暴击等级×1.0870,5,440,449,1.0245,0,,,0,,,,492,,48168,玛法里奥的凯旋护肩,258,4,2,3,无,,35001,野蛮角斗士的龙皮护肩,48591,4,159,70,
101210,赞加沼泽神恩战衣,护甲,法系输出,4,2,20,胸部,260,耐力+118；智力+118,法术强度+163；急速等级+104；暴击等级+88,法术强度+158；急速等级+105；暴击等级+83,法术强度×0.9693；急速等级×1.0096；暴击等级×0.9432,5,580,591,0.9848,2,黄色,蓝色,0,,,,656,,48176,符文图腾的凯旋护胸,258,4,2,20,无,,34211,野兽本能外套,48011,4,159,70,
101211,御风者镇世战衣,护甲,法系输出,4,2,20,胸部,260,耐力+118；智力+118,法术强度+163；急速等级+104；暴击等级+88,法术强度+170；急速等级+107；暴击等级+91,法术强度×1.0429；急速等级×1.0288；暴击等级×1.0341,5,580,591,1.0220,0,,,0,,,,656,,48169,玛法里奥的凯旋护胸,258,4,2,20,无,,34212,阳光外衣,48012,4,159,70,
101212,星陨断空战衣,护甲,法系输出,4,2,20,胸部,260,耐力+118；智力+118；精神+104,法术强度+154；急速等级+79,法术强度+161；急速等级+75,法术强度×1.0455；急速等级×0.9494,5,563,573,1.0052,2,红色,黄色,0,,,,656,,47453,反目长袍,258,4,2,20,无,,34369,烈日暗影甲冑,48912,4,159,70,
101213,天启者护甲,护甲,法系输出,4,2,20,胸部,260,耐力+118；智力+118；精神+96,法术强度+163；暴击等级+96,法术强度+165；暴击等级+87,法术强度×1.0123；暴击等级×0.9062,5,580,591,0.9882,1,黄色,,0,,,,656,,48146,符文图腾的凯旋法袍,258,4,2,20,无,,34371,骄阳之皮革胸甲,48916,4,159,70,
101214,沙塔斯之腰带,护甲,法系输出,4,2,6,腰部,260,耐力+89；智力+88,法术强度+118；暴击等级+77；急速等级+62,法术强度+127；暴击等级+77；急速等级+67,法术强度×1.0763；暴击等级×1.0000；急速等级×1.0806,5,450,434,1.0323,0,,,0,,,,370,,50994,石化藤条腰带,264,4,2,6,无,,35152,护卫者的龙皮腰带,48676,4,159,70,
101215,岩心轰雷战带,护甲,法系输出,4,2,6,腰部,260,耐力+89；智力+88；精神+77,法术强度+118；暴击等级+62,法术强度+129；暴击等级+62,法术强度×1.0932；暴击等级×1.0000,5,450,434,1.0253,1,蓝色,,0,,,,370,,51908,黑暗苦痛束带,264,4,2,6,无,,35156,护卫者的皮甲腰带,48677,4,159,70,
101216,灰熊丘陵青霜扣带,护甲,法系输出,4,2,6,腰部,260,耐力+88；智力+88；精神+78,法术强度+116；急速等级+61,法术强度+116；急速等级+64,法术强度×1.0000；急速等级×1.0492,5,422,431,1.0070,2,红色,黄色,0,,,,369,,47469,灰棘腰带,258,4,2,6,无,,34554,雷霆之心腰带,48352,4,154,70,
101217,巨魔祭司战带,护甲,法系输出,4,2,6,腰部,260,耐力+88；智力+88；精神+78,法术强度+116；急速等级+61,法术强度+106；急速等级+59,法术强度×0.9138；急速等级×0.9672,5,422,431,0.9722,1,黄色,,0,,,,369,,47145,灰棘束带,258,4,2,6,无,,34558,刺杀者腰带,48357,4,154,70,
101218,腿甲·陨星,护甲,法系输出,4,2,7,腿部,260,耐力+118；智力+118,法术强度+154；急速等级+96；暴击等级+88,法术强度+144；急速等级+98；暴击等级+82,法术强度×0.9351；急速等级×1.0208；暴击等级×0.9318,5,563,574,0.9756,1,黄色,,0,,,,573,,47479,苏醒护腿,258,4,2,7,无,,34169,自然侵攻护腿,47975,4,159,70,
101219,照夜战裙,护甲,法系输出,4,2,7,腿部,260,耐力+118；智力+118,法术强度+165；暴击等级+104；命中等级+88,法术强度+178；暴击等级+99；命中等级+85,法术强度×1.0788；暴击等级×0.9519；命中等级×0.9659,5,617,593,1.0084,1,蓝色,,0,,,,575,,51146,神圣树纹长裤,264,4,2,7,无,,34188,永恒长夜护腿,47995,4,159,70,
101220,霸主轰雷腿铠,护甲,法系输出,4,2,7,腿部,260,耐力+118；智力+118；精神+88,法术强度+163；命中等级+104,法术强度+149；命中等级+110,法术强度×0.9141；命中等级×1.0577,5,580,591,0.9865,1,红色,,0,,,,573,,48175,符文图腾的凯旋长裤,258,4,2,7,无,,35000,野蛮角斗士的龙皮护腿,48603,4,159,70,
101221,红龙军团驭天护腿,护甲,法系输出,4,2,7,腿部,260,耐力+118；智力+118；精神+88,法术强度+163；命中等级+104,法术强度+168；命中等级+103,法术强度×1.0307；命中等级×0.9904,5,580,591,1.0068,1,黄色,,0,,,,573,,48170,玛法里恩的凯旋长裤,258,4,2,7,无,,35034,野蛮角斗士的皮甲护腿,48597,4,159,70,
101222,奥妮克希亚神恩足甲,护甲,法系输出,4,2,8,脚部,260,耐力+89；智力+88,法术强度+118；急速等级+83；暴击等级+52,法术强度+114；急速等级+91；暴击等级+51,法术强度×0.9661；急速等级×1.0964；暴击等级×0.9808,5,446,430,1.0070,0,,,0,,,,452,,51920,霜籽长靴,264,4,2,8,无,,35137,护卫者的龙皮长靴,48678,4,159,70,
101223,血色修道院秩序踏靴,护甲,法系输出,4,2,8,脚部,260,耐力+85；智力+92,暴击等级+94；命中等级+51；法术强度+131,暴击等级+97；命中等级+49；法术强度+118,暴击等级×1.0319；命中等级×0.9608；法术强度×0.9008,5,308,453,0.9735,1,蓝色,,0,,,,453,,47504,树皮长靴,219,4,2,8,无,,35141,护卫者的皮甲长靴,48679,4,159,70,
101224,暮光之踏靴,护甲,法系输出,4,2,8,脚部,260,耐力+89；智力+88；精神+69,法术强度+118；急速等级+70,法术强度+114；急速等级+64,法术强度×0.9661；急速等级×0.9143,5,450,434,0.9770,2,红色,黄色,0,,,,452,,49894,塞纳里奥祝福之靴,264,4,2,8,无,,34571,雷霆之心长靴,48363,4,154,70,
101225,卡拉赞秘法踏靴,护甲,法系输出,4,2,8,脚部,260,耐力+88；智力+88；精神+61,法术强度+116；暴击等级+77,法术强度+107；暴击等级+81,法术强度×0.9224；暴击等级×1.0519,5,422,430,0.9884,1,黄色,,0,,,,451,,47423,严冬长靴,258,4,2,8,无,,34573,雷霆之心战靴,48362,4,154,70,
101226,卡拉赞腕铠,护甲,法系输出,4,2,9,腕部,260,耐力+66；智力+65,法术强度+95；暴击等级+58；急速等级+51,法术强度+101；暴击等级+57；急速等级+50,法术强度×1.0632；暴击等级×0.9828；急速等级×0.9804,5,370,335,1.0119,1,黄色,,0,,,,289,,53134,相位移形者护腕,271,4,2,9,无,,34444,雷霆之心腕甲,48311,4,154,70,
101227,极光臂甲,护甲,法系输出,4,2,9,腕部,260,耐力+66；智力+66；精神+61,法术强度+94；暴击等级+46,法术强度+89；暴击等级+50,法术强度×0.9468；暴击等级×1.0870,5,346,333,0.9970,1,蓝色,,0,,,,288,,51885,剧毒冲击护腕,264,4,2,9,无,,34445,雷霆之心护腕,48322,4,154,70,
101228,镇岳腕铠,护甲,法系输出,4,2,9,腕部,260,耐力+66；智力+66；精神+50,法术强度+93；急速等级+58,法术强度+84；急速等级+63,法术强度×0.9032；急速等级×1.0862,5,327,333,0.9880,0,,,0,,,,287,,47438,秋木束腕,258,4,2,9,无,,34448,刺杀者护腕,48324,4,154,70,
101229,星语者腕铠,护甲,法系输出,4,2,9,腕部,260,耐力+66；智力+66；精神+50,法术强度+93；急速等级+58,法术强度+90；急速等级+62,法术强度×0.9677；急速等级×1.0690,5,327,333,1.0030,2,黄色,蓝色,0,,,,287,,47066,秋木护腕,258,4,2,9,无,,35167,护卫者的龙皮护腕,48681,4,154,70,
101230,祖达克之拳甲,护甲,法系输出,4,2,10,手部,260,耐力+88；智力+88,法术强度+116；暴击等级+69；急速等级+69,法术强度+127；暴击等级+64；急速等级+68,法术强度×1.0948；暴击等级×0.9275；急速等级×0.9855,5,422,430,1.0116,0,,,0,,,,409,,53117,变形手套,258,4,2,10,无,,34234,暗影爆发护手,48018,4,159,70,
101231,希利苏斯之手套,护甲,法系输出,4,2,10,手部,260,耐力+89；智力+88,法术强度+128；暴击等级+77；命中等级+69,法术强度+127；暴击等级+72；命中等级+66,法术强度×0.9922；暴击等级×0.9351；命中等级×0.9565,5,468,451,0.9800,0,,,0,,,,411,,51148,神圣树纹手套,264,4,2,10,无,,34372,骄阳之皮革护手,48917,4,159,70,
101232,玄铁·手甲,护甲,法系输出,4,2,10,手部,260,耐力+88；智力+88；精神+69,法术强度+126；急速等级+77,法术强度+129；急速等级+72,法术强度×1.0238；急速等级×0.9351,5,440,448,0.9955,1,红色,,0,,,,409,,48173,符文图腾的凯旋手套,258,4,2,10,无,,34408,森林流浪者手套,48059,4,159,70,
101233,银月城手甲,护甲,法系输出,4,2,10,手部,260,耐力+88；智力+89,法术强度+125；暴击等级+77；命中等级+69,法术强度+119；暴击等级+79；命中等级+65,法术强度×0.9520；暴击等级×1.0260；命中等级×0.9420,5,412,448,0.9821,1,黄色,,0,,,,409,,50822,树纹手套,251,4,2,10,无,,34998,野蛮角斗士的龙皮手套,49966,4,159,70,
101234,暴风城战盔,护甲,法系输出,4,3,1,头部,260,耐力+118；智力+118,法术强度+154；暴击等级+94；急速等级+98,法术强度+146；暴击等级+88；急速等级+93,法术强度×0.9481；暴击等级×0.9362；急速等级×0.9490,5,571,582,0.9674,2,混沌,蓝色,0,,,,1183,,48328,萨尔的凯旋头盔,258,4,3,1,无,,42551,真视冰雪眼罩,53564,4,200,72,
101235,守护者降世战盔,护甲,法系输出,4,3,1,头部,260,智力+73；耐力+123,法术强度+160；暴击等级+109；命中等级+101,法术强度+148；暴击等级+99；命中等级+97,法术强度×0.9250；暴击等级×0.9083；命中等级×0.9604,5,492,566,0.9541,2,混沌,蓝色,0,,,,1174,,49468,无尽风暴头盔,245,4,3,1,无,,34332,古尔丹的兜帽,48025,4,164,70,
101236,潮汐战盔,护甲,法系输出,4,3,1,头部,260,耐力+118；智力+118,法术强度+154；暴击等级+94；急速等级+98,法术强度+168；暴击等级+85；急速等级+95,法术强度×1.0909；暴击等级×0.9043；急速等级×0.9694,5,571,582,1.0034,2,混沌,蓝色,0,,,,1183,,48323,努波顿的凯旋头盔,258,4,3,1,无,,34333,奥蕾莉亚的头盔,48024,4,164,70,
101237,焚烧兜帽,护甲,法系输出,4,3,1,头部,260,智力+73；耐力+123,法术强度+160；暴击等级+109；命中等级+101,法术强度+147；暴击等级+107；命中等级+101,法术强度×0.9187；暴击等级×0.9817；命中等级×1.0000,5,492,566,0.9735,2,混沌,红色,0,,,,1174,,49468,无尽风暴头盔,245,4,3,1,无,,34355,闪电蚀刻护目镜,45778,4,159,70,
101238,魔能肩卫,护甲,法系输出,4,3,3,肩部,260,耐力+88；智力+88,法术强度+126；急速等级+77；暴击等级+69,法术强度+122；急速等级+81；暴击等级+70,法术强度×0.9683；急速等级×1.0519；暴击等级×1.0145,5,440,448,1.0022,1,黄色,,0,,,,1092,,48330,萨尔的凯旋衬肩,258,4,3,3,无,,34194,金色森林护肩,47998,4,159,70,
101239,赤霞·肩卫,护甲,法系输出,4,3,3,肩部,260,耐力+116；智力+80,暴击等级+45；命中等级+90；法术强度+121,暴击等级+46；命中等级+99；法术强度+131,暴击等级×1.0222；命中等级×1.1000；法术强度×1.0826,5,307,452,1.0442,1,蓝色,,0,,,,1097,,47250,嚎风衬肩,219,4,3,3,无,,34208,均衡肩饰,48004,4,159,70,
101240,穿云肩甲,护甲,法系输出,4,3,3,肩部,260,耐力+88；智力+88,法术强度+126；急速等级+77；暴击等级+69,法术强度+118；急速等级+77；暴击等级+74,法术强度×0.9365；急速等级×1.0000；暴击等级×1.0725,5,440,448,0.9933,1,红色,,0,,,,1092,,48321,努波顿的凯旋衬肩,258,4,3,3,无,,34994,野蛮角斗士的链甲护肩,48609,4,159,70,
101241,红龙军团之肩甲,护甲,法系输出,4,3,3,肩部,260,耐力+89；智力+88,法术强度+118；暴击等级+77；急速等级+62,法术强度+117；暴击等级+79；急速等级+66,法术强度×0.9915；暴击等级×1.0260；急速等级×1.0645,5,450,434,1.0115,1,黄色,,0,,,,1095,,51811,结晶骸骨肩卫,264,4,3,3,无,,35046,野蛮角斗士的鳞甲护肩,48616,4,159,70,
