entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,230归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级
99469,玄冰扣带,护甲,法系输出,4,2,6,腰部,230,耐力+76；智力+62；精神+58,法术强度+104；急速等级+58,法术强度+113；急速等级+56,法术强度×1.0865；急速等级×0.9655,5,345,358,1.0196,0,,,0,,,,337,,45830,生命森林腰带,226,4,2,6,无,,34554,雷霆之心腰带,48352,4,154,70
99470,裁决者腰带,护甲,法系输出,4,2,6,腰部,230,耐力+67；智力+67；精神+59,法术强度+94；暴击等级+47,法术强度+89；暴击等级+47,法术强度×0.9468；暴击等级×1.0000,5,340,334,0.9850,1,黄色,,0,,,,333,,47669,冬至腰带,232,4,2,6,无,,34558,刺杀者腰带,48357,4,154,70
99471,晶歌森林玄铁护腿,护甲,法系输出,4,2,7,腿部,230,耐力+92；智力+89,暴击等级+58；急速等级+76；法术强度+136,暴击等级+54；急速等级+74；法术强度+132,暴击等级×0.9310；急速等级×0.9737；法术强度×0.9706,5,408,451,0.9778,1,黄色,,0,,,,528,,47249,雪棘护腿,219,4,2,7,无,,34169,自然侵攻护腿,47975,4,159,70
99472,咒纹·战裙,护甲,法系输出,4,2,7,腿部,230,耐力+88；智力+90,法术强度+119；暴击等级+79；命中等级+61,法术强度+115；暴击等级+81；命中等级+57,法术强度×0.9664；暴击等级×1.0253；命中等级×0.9344,5,421,437,0.9863,2,蓝色,红色,0,,,,523,,46192,征服者的夜歌长裤,226,4,2,7,无,,34188,永恒长夜护腿,47995,4,159,70
99473,潜行者缚龙护腿,护甲,法系输出,4,2,7,腿部,230,耐力+90；智力+90；精神+63,法术强度+120；命中等级+78,法术强度+123；命中等级+77,法术强度×1.0250；命中等级×0.9872,5,450,441,1.0045,1,红色,,0,,,,519,,48185,符文图腾的征服长裤,232,4,2,7,无,,35000,野蛮角斗士的龙皮护腿,48603,4,159,70
99474,织法者腿甲,护甲,法系输出,4,2,7,腿部,230,耐力+90；智力+90；精神+63,法术强度+120；命中等级+78,法术强度+121；命中等级+72,法术强度×1.0083；命中等级×0.9231,5,450,441,0.9887,1,黄色,,0,,,,519,,48160,玛法里奥的征服长裤,232,4,2,7,无,,35034,野蛮角斗士的皮甲护腿,48597,4,159,70
99475,灰熊丘陵群星战靴,护甲,法系输出,4,2,8,脚部,230,耐力+74；智力+62,急速等级+64；暴击等级+48；法术强度+104,急速等级+68；暴击等级+49；法术强度+100,急速等级×1.0625；暴击等级×1.0208；法术强度×0.9615,5,302,352,1.0028,1,黄色,,0,,,,418,,40519,玛里苟斯的脚步,213,4,2,8,无,,35137,护卫者的龙皮长靴,48678,4,159,70
99476,护足·奥术,护甲,法系输出,4,2,8,脚部,230,耐力+64；智力+68,暴击等级+70；命中等级+38；法术强度+101,暴击等级+64；命中等级+39；法术强度+111,暴击等级×0.9143；命中等级×1.0263；法术强度×1.0990,5,308,341,1.0147,1,蓝色,,0,,,,415,,47504,树皮长靴,219,4,2,8,无,,35141,护卫者的皮甲长靴,48679,4,159,70
99477,焚烧踏靴,护甲,法系输出,4,2,8,脚部,230,耐力+77；智力+63；精神+58,法术强度+102；急速等级+58,法术强度+95；急速等级+57,法术强度×0.9314；急速等级×0.9828,5,342,358,0.9777,2,红色,黄色,0,,,,419,,45378,石化森林之靴,225,4,2,8,无,,34571,雷霆之心长靴,48363,4,154,70
99478,秘术护足,护甲,法系输出,4,2,8,脚部,230,耐力+64；智力+68,暴击等级+70；命中等级+38；法术强度+101,暴击等级+76；命中等级+41；法术强度+109,暴击等级×1.0857；命中等级×1.0789；法术强度×1.0792,5,308,341,1.0499,1,黄色,,0,,,,415,,47504,树皮长靴,219,4,2,8,无,,34573,雷霆之心战靴,48362,4,154,70
99479,黑翼之巢血月臂甲,护甲,法系输出,4,2,9,腕部,230,耐力+50；智力+48,法术强度+73；暴击等级+43；急速等级+40,法术强度+75；暴击等级+41；急速等级+39,法术强度×1.0274；暴击等级×0.9535；急速等级×0.9750,5,370,254,0.9961,1,黄色,,0,,,,265,,53134,相位移形者护腕,271,4,2,9,无,,34444,雷霆之心腕甲,48311,4,154,70
99480,护臂·幻影,护甲,法系输出,4,2,9,腕部,230,智力+50；耐力+50；精神+40,法术强度+77；暴击等级+45,法术强度+80；暴击等级+46,法术强度×1.0390；暴击等级×1.0222,5,267,262,1.0153,1,蓝色,,0,,,,259,,50318,鬼魅裹腕,232,4,2,9,无,,34445,雷霆之心护腕,48322,4,154,70
99481,镇岳护臂,护甲,法系输出,4,2,9,腕部,230,耐力+56；智力+48；精神+48,法术强度+77；急速等级+37,法术强度+81；急速等级+37,法术强度×1.0519；急速等级×1.0000,5,271,266,1.0150,0,,,0,,,,264,,45149,龙母护腕,232,4,2,9,无,,34448,刺杀者护腕,48324,4,154,70
99482,地狱火半岛之护臂,护甲,法系输出,4,2,9,腕部,230,耐力+49；智力+47；精神+38,暴击等级+51；法术强度+77,暴击等级+47；法术强度+73,暴击等级×0.9216；法术强度×0.9481,5,251,262,0.9695,2,黄色,蓝色,0,,,,267,,46009,深渊束腕,225,4,2,9,无,,35167,护卫者的龙皮护腕,48681,4,154,70
99483,冰冠堡垒护手,护甲,法系输出,4,2,10,手部,230,耐力+57；智力+70,暴击等级+56；急速等级+59；法术强度+101,暴击等级+53；急速等级+62；法术强度+103,暴击等级×0.9464；急速等级×1.0508；法术强度×1.0198,5,310,343,1.0058,1,黄色,,0,,,,377,,47498,阴郁命运手套,219,4,2,10,无,,34234,暗影爆发护手,48018,4,159,70
99484,蚀日之手套,护甲,法系输出,4,2,10,手部,230,耐力+66；智力+65,法术强度+97；暴击等级+58；命中等级+51,法术强度+98；暴击等级+63；命中等级+50,法术强度×1.0103；暴击等级×1.0862；命中等级×0.9804,5,412,337,1.0148,2,蓝色,红色,0,,,,374,,50822,树纹手套,251,4,2,10,无,,34372,骄阳之皮革护手,48917,4,159,70
99485,冬拥湖之护手,护甲,法系输出,4,2,10,手部,230,耐力+71；智力+65；精神+61,法术强度+103；急速等级+54,法术强度+103；急速等级+56,法术强度×1.0000；急速等级×1.0370,5,360,354,1.0056,2,红色,黄色,0,,,,371,,50212,欲望精华手套,232,4,2,10,无,,34408,森林流浪者手套,48059,4,159,70
99486,赤焰破天手甲,护甲,法系输出,4,2,10,手部,230,耐力+65；智力+67；精神+50,法术强度+93；命中等级+59,法术强度+93；命中等级+57,法术强度×1.0000；命中等级×0.9661,5,322,334,0.9940,0,,,0,,,,373,,46189,征服者的夜歌手套,226,4,2,10,无,,34998,野蛮角斗士的龙皮手套,49966,4,159,70
99487,虚空风暴命轮面甲,护甲,法系输出,4,3,1,头部,230,耐力+79；智力+82,法术强度+120；急速等级+83；暴击等级+57,法术强度+111；急速等级+86；暴击等级+59,法术强度×0.9250；急速等级×1.0361；暴击等级×1.0351,5,428,421,0.9905,1,黄色,,0,,,,1071,,50214,灵魂冲击头盔,232,4,3,1,无,,42551,真视冰雪眼罩,53564,4,200,72
99488,兜帽·幻光,护甲,法系输出,4,3,1,头部,230,智力+53；耐力+92,法术强度+122；暴击等级+80；命中等级+74,法术强度+133；暴击等级+75；命中等级+76,法术强度×1.0902；暴击等级×0.9375；命中等级×1.0270,5,430,421,1.0190,0,,,0,,,,1071,,49331,无尽风暴衬帽,232,4,3,1,无,,34332,古尔丹的兜帽,48025,4,164,70
99489,奥术头冠,护甲,法系输出,4,3,1,头部,230,耐力+90；智力+90,法术强度+111；暴击等级+69；急速等级+73,法术强度+101；暴击等级+64；急速等级+78,法术强度×0.9099；暴击等级×0.9275；急速等级×1.0685,5,441,433,0.9769,1,红色,,0,,,,1071,,48338,萨尔的征服头盔,232,4,3,1,无,,34333,奥蕾莉亚的头盔,48024,4,164,70
99490,秘术头盔,护甲,法系输出,4,3,1,头部,230,耐力+88；智力+90,法术强度+119；命中等级+62；暴击等级+62,法术强度+123；命中等级+64；暴击等级+63,法术强度×1.0336；命中等级×1.0323；暴击等级×1.0161,5,406,421,1.0166,1,黄色,,0,,,,1079,,46209,征服者的世界击碎者头盔,226,4,3,1,无,,34355,闪电蚀刻护目镜,45778,4,159,70
99491,唤潮者镇渊肩卫,护甲,法系输出,4,3,3,肩部,230,耐力+67；智力+67,法术强度+94；急速等级+59；暴击等级+51,法术强度+93；急速等级+63；暴击等级+48,法术强度×0.9894；急速等级×1.0678；暴击等级×0.9412,5,344,338,1.0000,2,黄色,蓝色,0,,,,988,,48340,萨尔的征服衬肩,232,4,3,3,无,,34194,金色森林护肩,47998,4,159,70
99492,潜行者之肩卫,护甲,法系输出,4,3,3,肩部,230,耐力+88；智力+59,暴击等级+33；命中等级+67；法术强度+93,暴击等级+30；命中等级+65；法术强度+93,暴击等级×0.9091；命中等级×0.9701；法术强度×1.0000,5,307,340,0.9853,0,,,0,,,,1006,,47250,嚎风衬肩,219,4,3,3,无,,34208,均衡肩饰,48004,4,159,70
99493,屠龙者肩卫,护甲,法系输出,4,3,3,肩部,230,耐力+67；智力+67,法术强度+94；急速等级+59；暴击等级+51,法术强度+87；急速等级+61；暴击等级+52,法术强度×0.9255；急速等级×1.0339；暴击等级×1.0196,5,344,338,0.9882,0,,,0,,,,988,,48315,努波顿的征服衬肩,232,4,3,3,无,,34994,野蛮角斗士的链甲护肩,48609,4,159,70
99494,安戈洛肩铠,护甲,法系输出,4,3,3,肩部,230,耐力+88；智力+59,暴击等级+33；命中等级+67；法术强度+93,暴击等级+33；命中等级+66；法术强度+91,暴击等级×1.0000；命中等级×0.9851；法术强度×0.9785,5,307,340,0.9912,1,黄色,,0,,,,1006,,47250,嚎风衬肩,219,4,3,3,无,,35046,野蛮角斗士的鳞甲护肩,48616,4,159,70
99495,太古战衣,护甲,法系输出,4,3,20,胸部,230,耐力+90；智力+90,法术强度+120；急速等级+71；暴击等级+71,法术强度+120；急速等级+77；暴击等级+65,法术强度×1.0000；急速等级×1.0845；暴击等级×0.9155,5,450,442,1.0000,1,黄色,,0,,,,1317,,48295,萨尔的征服外套,232,4,3,5,无,,34228,邪恶陆行鸟胸甲,48014,4,159,70
